Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Ryan Fitzpatrick,MIA,21,34,190,2,2,4,20,17,71.9,5,17,0,8,0,0,0,0,0,2,1
Mark Walton,MIA,0,0,0,0,0,0,0,0,,11,35,0,9,6,3,19,0,9,1,1
Kalen Ballage,MIA,0,0,0,0,0,0,0,0,,3,8,0,4,1,1,11,0,11,0,0
DeVante Parker,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,59,0,15,0,0
Preston Williams,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,42,0,14,0,0
Jakeem Grant,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,32,0,17,0,0
Allen Hurns,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,1,12,0,0
Mike Gesicki,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,10,0,5,0,0
Albert Wilson,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,1,5,0,0
Michael Deiter,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0
Nick O'Leary,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Mason Rudolph,PIT,20,36,251,2,1,2,15,45,84.4,0,0,0,0,0,0,0,0,0,1,0
James Conner,PIT,0,0,0,0,0,0,0,0,,23,145,1,25,4,3,5,0,9,0,0
Benny Snell Jr.,PIT,0,0,0,0,0,0,0,0,,5,13,0,5,0,0,0,0,0,0,0
JuJu Smith-Schuster,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,103,1,34,0,0
Diontae Johnson,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,84,1,45,0,0
James Washington,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,6,1,21,0,21,0,0
Vance McDonald,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,19,0,14,0,0
Nick Vannett,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,15,0,15,0,0
Roosevelt Nix,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,4,0,4,0,0
Donte Moncrief,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Trey Edmunds,PIT,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
