Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Daniel Jones,NYG,26,37,321,2,1,3,9,58,103.5,9,59,1,15,0,0,0,0,0,0,0
Saquon Barkley,NYG,0,0,0,0,0,0,0,0,,17,63,1,16,7,6,29,1,10,0,0
Matt Breida,NYG,0,0,0,0,0,0,0,0,,1,5,0,5,0,0,0,0,0,0,0
Jalin Hyatt,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,89,0,58,0,0
Darren Waller,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,76,0,25,0,0
Darius Slayton,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,62,0,29,0,0
Isaiah Hodgins,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,40,1,12,0,0
Parris Campbell,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,21,0,9,0,0
Sterling Shepard,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Joshua Dobbs,ARI,21,31,228,1,0,0,0,23,99.9,3,41,1,23,0,0,0,0,0,0,0
James Conner,ARI,0,0,0,0,0,0,0,0,,23,106,1,22,1,0,0,0,0,0,0
Keaontay Ingram,ARI,0,0,0,0,0,0,0,0,,2,6,0,5,0,0,0,0,0,0,0
Zach Ertz,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,56,0,17,0,0
Michael Wilson,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,56,0,21,0,0
Marquise Brown,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,54,1,22,0,0
Trey McBride,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,32,0,23,0,0
Rondale Moore,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,0,14,0,0
Zach Pascal,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Emari Demercado,ARI,0,0,0,0,0,0,0,0,,1,-2,0,-2,2,2,7,0,4,0,0
