Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Colt McCoy,ARI,13,21,78,0,1,2,4,16,49.3,2,2,0,1,0,0,0,0,0,0,0
Trace McSorley,ARI,7,15,95,0,2,1,2,29,27.8,1,8,0,8,0,0,0,0,0,0,0
James Conner,ARI,0,0,0,0,0,0,0,0,,16,63,1,14,5,3,28,0,16,0,0
DeAndre Hopkins,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,11,7,60,0,18,0,0
Trey McBride,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,55,0,29,0,0
Marquise Brown,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,19,0,9,0,0
Maxx Williams,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,11,0,6,0,0
A.J. Green,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Keaontay Ingram,ARI,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
Robbie Chosen,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Brett Rypien,DEN,21,26,197,1,1,7,41,19,95.0,2,-2,0,-1,0,0,0,0,0,2,1
Latavius Murray,DEN,0,0,0,0,0,0,0,0,,24,130,1,35,1,1,12,0,12,0,0
Marlon Mack,DEN,0,0,0,0,0,0,0,0,,5,37,1,17,4,4,26,0,10,0,0
Devine Ozigbo,DEN,0,0,0,0,0,0,0,0,,2,2,0,4,0,0,0,0,0,0,0
Andrew Beck,DEN,0,0,0,0,0,0,0,0,,1,1,0,1,1,0,0,0,0,0,0
Jerry Jeudy,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,76,0,19,0,0
Brandon Johnson,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,30,0,12,0,0
Eric Tomlinson,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,28,1,18,0,0
Greg Dulcich,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,11,0,11,0,0
Freddie Swain,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Eric Saubert,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,0
