Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Daniel Jones,NYG,23,36,190,0,1,5,31,33,65.7,6,45,0,13,0,0,0,0,0,1,0
Wayne Gallman,NYG,0,0,0,0,0,0,0,0,,6,45,0,26,0,0,0,0,0,0,0
Devonta Freeman,NYG,0,0,0,0,0,0,0,0,,11,33,0,10,4,4,35,0,15,0,0
Dion Lewis,NYG,0,0,0,0,0,0,0,0,,1,10,0,10,3,2,8,0,4,0,0
C.J. Board,NYG,0,0,0,0,0,0,0,0,,1,3,0,3,1,0,0,0,0,0,0
Darius Slayton,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,48,0,33,0,0
Evan Engram,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,35,0,12,0,0
Damion Ratley,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,34,0,17,0,0
Golden Tate,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,20,0,12,0,0
Kaden Smith,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jared Goff,LAR,25,32,200,1,0,2,18,55,103.1,3,-3,0,-1,0,0,0,0,0,0,0
Malcolm Brown,LAR,0,0,0,0,0,0,0,0,,9,38,0,13,6,5,19,0,8,0,0
Darrell Henderson,LAR,0,0,0,0,0,0,0,0,,8,21,0,4,1,1,16,0,16,0,0
Robert Woods,LAR,0,0,0,0,0,0,0,0,,1,2,0,2,7,6,36,0,15,0,0
Gerald Everett,LAR,0,0,0,0,0,0,0,0,,1,2,1,2,1,1,10,0,10,1,1
Josh Reynolds,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,25,0,11,1,0
Tyler Higbee,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,20,0,8,0,0
Johnny Mundt,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
Van Jefferson,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Cooper Kupp,LAR,0,0,0,0,0,0,0,0,,1,-2,0,-2,7,5,69,1,55,0,0
