Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Justin Simmons,DEN,1,8,0,8,1,0.0,8,7,1,0,0,0,0,0,0
Von Miller,DEN,0,0,0,0,0,1.0,3,2,1,2,1,0,0,0,0
Alexander Johnson,DEN,0,0,0,0,0,0.0,15,10,5,1,1,0,0,0,0
Todd Davis,DEN,0,0,0,0,0,0.0,13,9,4,1,0,0,0,0,0
Kareem Jackson,DEN,0,0,0,0,0,0.0,7,4,3,0,0,0,0,0,0
Chris Harris Jr.,DEN,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
Jeremiah Attaochu,DEN,0,0,0,0,0,0.0,5,5,0,2,0,0,0,0,0
Adam Gotsis,DEN,0,0,0,0,1,0.0,5,4,1,0,0,0,0,0,0
Davontae Harris,DEN,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Dre'Mont Jones,DEN,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Mike Purcell,DEN,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Fred Brown,DEN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Shelby Harris,DEN,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0
Trey Marshall,DEN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Malik Reed,DEN,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Derek Wolfe,DEN,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0
Duke Dawson,DEN,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
Joseph Jones,DEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Casey Kreiter,DEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Will Parks,DEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Josh Watson,DEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Tre'Davious White,BUF,1,7,0,7,4,0.0,3,3,0,0,0,0,0,0,0
Shaq Lawson,BUF,0,0,0,0,0,2.0,2,2,0,2,3,0,0,0,0
Star Lotulelei,BUF,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
Ed Oliver,BUF,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
Tremaine Edmunds,BUF,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
Matt Milano,BUF,0,0,0,0,3,0.0,6,5,1,1,1,0,0,0,0
Taron Johnson,BUF,0,0,0,0,1,0.0,4,4,0,0,0,0,0,0,0
Jordan Poyer,BUF,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Levi Wallace,BUF,0,0,0,0,0,0.0,4,4,0,1,0,0,0,0,0
Micah Hyde,BUF,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Jordan Phillips,BUF,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Lorenzo Alexander,BUF,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Corey Liuget,BUF,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Trent Murphy,BUF,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Senorise Perry,BUF,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Julian Stanford,BUF,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Corey Thompson,BUF,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Andre Roberts,BUF,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
