Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jared Goff,LAR,21,36,255,2,0,1,11,53,98.7,1,-1,0,,0,0,0,0,,1,0
Todd Gurley,LAR,0,0,0,0,0,0,0,0,,23,121,0,17,8,7,94,1,53,0,0
Tavon Austin,LAR,0,0,0,0,0,0,0,0,,6,48,0,14,2,1,-2,0,-2,0,0
Cooper Kupp,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,60,1,24,0,0
Tyler Higbee,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,47,0,29,0,0
Robert Woods,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,17,0,19,0,0
Sammy Watkins,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,17,0,17,0,0
Malcolm Brown,LAR,0,0,0,0,0,0,0,0,,1,0,0,0,1,1,14,0,14,0,0
Gerald Everett,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,8,0,8,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Dak Prescott,DAL,20,36,252,3,1,2,1,36,93.7,3,25,0,,0,0,0,0,,0,0
Ezekiel Elliott,DAL,0,0,0,0,0,0,0,0,,21,85,1,16,5,4,54,1,31,0,0
Alfred Morris,DAL,0,0,0,0,0,0,0,0,,2,76,0,70,0,0,0,0,0,0,0
Ryan Switzer,DAL,0,0,0,0,0,0,0,0,,1,3,0,3,0,0,0,0,0,1,1
Dez Bryant,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,13,5,98,0,36,0,0
Terrance Williams,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,34,0,13,0,0
James Hanna,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,28,1,28,0,0
Cole Beasley,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,17,0,12,0,0
Brice Butler,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,12,1,10,0,0
Jason Witten,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,9,0,9,0,0
