Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Mac Jones,NWE,22,26,207,1,1,3,33,19,96.6,6,1,0,2,0,0,0,0,0,0,0
Rhamondre Stevenson,NWE,0,0,0,0,0,0,0,0,,12,69,0,21,1,1,6,0,6,0,0
Damien Harris,NWE,0,0,0,0,0,0,0,0,,10,56,0,17,1,1,9,0,9,0,0
Kendrick Bourne,NWE,0,0,0,0,0,0,0,0,,1,7,0,7,4,4,42,0,19,0,0
Brandon Bolden,NWE,0,0,0,0,0,0,0,0,,1,1,0,1,2,2,15,0,9,0,0
Nelson Agholor,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,40,1,19,0,0
Jakobi Meyers,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,39,0,18,0,0
Hunter Henry,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,25,0,15,0,0
Jonnu Smith,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,17,0,17,0,0
N'Keal Harry,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,14,0,9,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Matt Ryan,ATL,19,28,153,0,2,4,33,19,51.6,0,0,0,0,0,0,0,0,0,0,0
Josh Rosen,ATL,1,3,5,0,1,0,0,5,2.8,0,0,0,0,0,0,0,0,0,0,0
Feleipe Franks,ATL,0,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
Qadree Ollison,ATL,0,0,0,0,0,0,0,0,,9,34,0,12,3,2,0,0,0,0,0
Keith Smith,ATL,0,0,0,0,0,0,0,0,,3,8,0,5,1,1,11,0,11,0,0
Mike Davis,ATL,0,0,0,0,0,0,0,0,,3,1,0,1,4,3,20,0,10,0,0
Russell Gage,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,49,0,19,0,0
Kyle Pitts,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,29,0,16,0,0
Olamide Zaccheaus,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,23,0,9,0,0
Tajae Sharpe,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,21,0,17,0,0
Parker Hesse,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
Wayne Gallman,ATL,0,0,0,0,0,0,0,0,,1,-3,0,-3,0,0,0,0,0,0,0
