Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jason Campbell,CLE,18,40,178,0,2,3,10,24,37.3,2,21,0,14,0,0,0,0,,0,0
Edwin Baker,CLE,0,0,0,0,0,0,0,,,17,64,1,9,3,2,12,0,7,0,0
Josh Gordon,CLE,0,0,0,0,0,0,0,,,1,22,0,22,16,6,97,0,24,0,0
Chris Ogbonnaya,CLE,0,0,0,0,0,0,0,,,1,8,0,8,1,1,4,0,4,0,0
Josh Cooper,CLE,0,0,0,0,0,0,0,,,0,0,0,,6,4,26,0,11,0,0
Gary Barnidge,CLE,0,0,0,0,0,0,0,,,0,0,0,,4,2,23,0,16,0,0
Brian Tyms,CLE,0,0,0,0,0,0,0,,,0,0,0,,2,2,12,0,6,0,0
Greg Little,CLE,0,0,0,0,0,0,0,,,0,0,0,,4,1,4,0,4,0,0
MarQueis Gray,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,4,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Geno Smith,NYJ,20,36,214,2,0,0,0,22,91.7,10,48,1,17,0,0,0,0,,0,0
Josh Bush,NYJ,0,1,0,0,0,0,0,0,39.6,0,0,0,,0,0,0,0,,0,0
Chris Ivory,NYJ,0,0,0,0,0,0,0,,,20,109,0,28,0,0,0,0,,0,0
Bilal Powell,NYJ,0,0,0,0,0,0,0,,,7,54,0,39,5,4,26,0,19,0,0
Jeremy Kerley,NYJ,0,0,0,0,0,0,0,,,1,8,0,8,11,5,70,0,22,0,0
Kellen Winslow,NYJ,0,0,0,0,0,0,0,,,0,0,0,,5,3,35,0,16,0,0
David Nelson,NYJ,0,0,0,0,0,0,0,,,0,0,0,,5,4,33,2,15,0,0
Jeff Cumberland,NYJ,0,0,0,0,0,0,0,,,0,0,0,,3,2,30,0,18,0,0
Santonio Holmes,NYJ,0,0,0,0,0,0,0,,,0,0,0,,6,2,20,0,12,0,0
Isaiah Trufant,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Tommy Bohanon,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Saalim Hakim,NYJ,0,0,0,0,0,0,0,,,1,-11,0,-11,0,0,0,0,,0,0
