Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Baker Mayfield,TAM,20,32,137,0,0,3,22,20,72.0,5,7,0,7,0,0,0,0,0,0,0
Rachaad White,TAM,0,0,0,0,0,0,0,0,,19,75,0,13,4,4,18,0,7,0,0
Chase Edmonds,TAM,0,0,0,0,0,0,0,0,,4,27,0,21,1,1,-3,0,-3,0,0
Chris Godwin,TAM,0,0,0,0,0,0,0,0,,1,4,0,4,7,6,51,0,14,0,0
Cade Otton,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,30,0,20,0,0
Mike Evans,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,22,0,9,0,0
Trey Palmer,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,10,0,6,1,0
David Moore,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Deven Thompkins,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Bryce Young,CAR,11,18,94,0,0,3,26,42,74.8,2,24,0,20,0,0,0,0,0,1,1
Chuba Hubbard,CAR,0,0,0,0,0,0,0,0,,23,83,0,17,2,2,9,0,8,0,0
Miles Sanders,CAR,0,0,0,0,0,0,0,0,,3,18,0,13,0,0,0,0,0,0,0
Raheem Blackshear,CAR,0,0,0,0,0,0,0,0,,1,6,0,6,0,0,0,0,0,0,0
DJ Chark,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,46,0,42,1,1
Adam Thielen,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,12,0,8,0,0
Tommy Tremble,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,11,0,7,0,0
Ihmir Smith-Marsette,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0
Terrace Marshall Jr.,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
Ian Thomas,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,0
Stephen Sullivan,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
