Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Josh Allen,BUF,18,34,205,0,2,5,22,42,46.8,9,86,2,36,0,0,0,0,0,2,0
Devin Singletary,BUF,0,0,0,0,0,0,0,0,,8,24,0,5,5,4,24,0,11,0,0
James Cook,BUF,0,0,0,0,0,0,0,0,,4,15,0,6,4,2,18,0,10,0,0
Isaiah McKenzie,BUF,0,0,0,0,0,0,0,0,,1,9,0,9,3,2,12,0,9,0,0
Stefon Diggs,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,10,5,93,0,42,0,0
Gabriel Davis,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,33,0,18,0,0
Dawson Knox,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,25,0,17,0,0
Jake Kumerow,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Nyheim Hines,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Zach Wilson,NYJ,18,25,154,1,0,2,18,24,101.1,5,24,0,13,0,0,0,0,0,1,1
Michael Carter,NYJ,0,0,0,0,0,0,0,0,,12,76,1,25,1,1,10,0,10,0,0
James Robinson,NYJ,0,0,0,0,0,0,0,0,,13,48,0,16,2,2,5,1,7,0,0
Ty Johnson,NYJ,0,0,0,0,0,0,0,0,,2,17,0,12,0,0,0,0,0,0,0
Garrett Wilson,NYJ,0,0,0,0,0,0,0,0,,1,7,0,7,9,8,92,0,24,1,0
Ashtyn Davis,NYJ,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
C.J. Uzomah,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,16,0,6,0,0
Denzel Mims,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,12,0,12,0,0
Tyler Conklin,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,0
Jeff Smith,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Braxton Berrios,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0
