Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jalen Hurts,PHI,17,31,143,0,2,0,0,18,40.1,13,82,2,20,0,0,0,0,0,0,0
D'Andre Swift,PHI,0,0,0,0,0,0,0,0,,18,74,0,11,3,2,1,0,6,0,0
Kenneth Gainwell,PHI,0,0,0,0,0,0,0,0,,6,21,0,8,1,0,0,0,0,0,0
Dallas Goedert,PHI,0,0,0,0,0,0,0,0,,1,1,0,1,9,4,30,0,18,0,0
A.J. Brown,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,10,5,56,0,15,0,0
DeVonta Smith,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,50,0,17,0,0
Julio Jones,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Quez Watkins,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Drew Lock,SEA,22,33,208,1,0,2,11,34,94.0,1,-2,0,-2,0,0,0,0,0,0,0
Kenneth Walker III,SEA,0,0,0,0,0,0,0,0,,19,86,1,23,3,3,26,0,15,0,0
Zach Charbonnet,SEA,0,0,0,0,0,0,0,0,,4,16,0,6,1,0,0,0,0,0,0
D.K. Metcalf,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,78,0,34,0,0
Jaxon Smith-Njigba,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,48,1,29,0,0
Tyler Lockett,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,9,3,21,0,12,0,0
Noah Fant,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,16,0,6,0,0
Will Dissly,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,9,0,5,0,0
Colby Parkinson,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Jake Bobo,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
