Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Andy Dalton,CIN,32,53,338,0,3,5,36,26,55.4,5,12,0,10,0,0,0,0,,1,1
Giovani Bernard,CIN,0,0,0,0,0,0,0,,,9,79,2,35,4,4,25,0,10,0,0
BenJarvus Green-Ellis,CIN,0,0,0,0,0,0,0,,,21,72,0,14,0,0,0,0,,0,0
A.J. Green,CIN,0,0,0,0,0,0,0,,,0,0,0,,19,11,128,0,21,0,0
Marvin Jones,CIN,0,0,0,0,0,0,0,,,0,0,0,,7,4,66,0,26,0,0
Mohamed Sanu,CIN,0,0,0,0,0,0,0,,,0,0,0,,9,6,62,0,21,0,0
Jermaine Gresham,CIN,0,0,0,0,0,0,0,,,0,0,0,,7,3,33,0,16,0,0
Tyler Eifert,CIN,0,0,0,0,0,0,0,,,0,0,0,,4,3,14,0,5,0,0
Andrew Hawkins,CIN,0,0,0,0,0,0,0,,,0,0,0,,2,1,10,0,10,0,0
Dane Sanzenbacher,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Ryan Tannehill,MIA,20,28,208,0,0,3,20,40,92.6,1,1,1,1,0,0,0,0,,0,0
Lamar Miller,MIA,0,0,0,0,0,0,0,,,16,105,0,41,4,4,24,0,9,1,1
Daniel Thomas,MIA,0,0,0,0,0,0,0,,,12,38,0,9,2,1,4,0,4,0,0
Charles Clay,MIA,0,0,0,0,0,0,0,,,1,13,0,13,3,3,22,0,9,0,0
Mike Wallace,MIA,0,0,0,0,0,0,0,,,0,0,0,,8,6,82,0,40,0,0
Brian Hartline,MIA,0,0,0,0,0,0,0,,,0,0,0,,5,3,39,0,21,0,0
Rishard Matthews,MIA,0,0,0,0,0,0,0,,,0,0,0,,4,2,24,0,16,0,0
Michael Egnew,MIA,0,0,0,0,0,0,0,,,0,0,0,,1,1,13,0,13,0,0
Marcus Thigpen,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
