Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Marlon Humphrey,BAL,0,0,0,0,0,1.0,6,3,3,2,1,0,0,0,0
Broderick Washington Jr.,BAL,0,0,0,0,0,1.0,5,3,2,1,1,0,0,0,0
Tyus Bowser,BAL,0,0,0,0,0,1.0,3,2,1,1,1,0,0,0,1
Calais Campbell,BAL,0,0,0,0,0,1.0,3,2,1,0,3,0,0,0,1
Marcus Peters,BAL,0,0,0,0,0,0.0,8,6,2,1,0,1,0,0,0
Roquan Smith,BAL,0,0,0,0,0,0.0,8,5,3,0,0,0,0,0,0
Chuck Clark,BAL,0,0,0,0,0,0.0,7,4,3,0,0,0,0,0,0
Patrick Queen,BAL,0,0,0,0,1,0.0,6,4,2,1,0,0,0,0,0
Brandon Stephens,BAL,0,0,0,0,0,0.0,6,6,0,0,0,0,0,0,0
Geno Stone,BAL,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Justin Madubuike,BAL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Malik Harrison,BAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Justin Houston,BAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Travis Jones,BAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Brent Urban,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
DaVon Hamilton,JAX,0,0,0,0,0,1.0,3,1,2,1,1,1,0,0,1
Foyesade Oluokun,JAX,0,0,0,0,0,0.0,18,13,5,3,0,0,0,0,0
Chad Muma,JAX,0,0,0,0,0,0.0,9,4,5,0,0,0,0,0,0
Andre Cisco,JAX,0,0,0,0,2,0.0,7,6,1,0,0,0,0,0,0
Rayshawn Jenkins,JAX,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,1
Josh Allen,JAX,0,0,0,0,0,0.0,5,2,3,1,0,0,0,0,0
Devin Lloyd,JAX,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Darious Williams,JAX,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Andrew Wingard,JAX,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,1
Adam Gotsis,JAX,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Caleb Johnson,JAX,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Corey Peters,JAX,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0
Tyson Campbell,JAX,0,0,0,0,0,0.0,1,1,0,0,0,1,0,0,0
Tevaughn Campbell,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Chris Claybrooks,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Folorunso Fatukasi,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Tim Jones,JAX,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Roy Robertson-Harris,JAX,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Travon Walker,JAX,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Luke Fortner,JAX,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Arden Key,JAX,0,0,0,0,1,0.0,0,0,0,0,1,0,0,0,0
Dawuane Smoot,JAX,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
