Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Joe Burrow,CIN,25,35,232,2,1,5,39,41,96.4,1,2,0,2,0,0,0,0,0,1,1
Joe Mixon,CIN,0,0,0,0,0,0,0,0,,8,27,0,6,9,7,32,0,14,0,0
Samaje Perine,CIN,0,0,0,0,0,0,0,0,,1,7,0,7,3,3,10,0,6,0,0
Tee Higgins,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,49,1,41,0,0
Hayden Hurst,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,42,0,21,0,0
Tyler Boyd,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,38,1,14,0,0
Trenton Irwin,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,27,0,18,0,0
Chris Evans,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,26,0,26,0,0
Trent Taylor,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
Mitchell Wilcox,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0
Mike Thomas,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jacoby Brissett,CLE,17,22,278,1,0,2,10,53,133.7,6,12,1,4,0,0,0,0,0,1,1
Amari Cooper,CLE,0,1,0,0,1,0,0,0,0.0,0,0,0,0,7,5,131,1,53,0,0
Nick Chubb,CLE,0,0,0,0,0,0,0,0,,23,101,2,21,1,1,3,0,3,0,0
Kareem Hunt,CLE,0,0,0,0,0,0,0,0,,11,42,0,15,4,4,30,0,12,0,0
D'Ernest Johnson,CLE,0,0,0,0,0,0,0,0,,4,17,0,7,0,0,0,0,0,0,0
Donovan Peoples-Jones,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,81,0,37,0,0
David Bell,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,27,0,14,0,0
Michael Woods II,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0
