Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Ryan Tannehill,TEN,14,22,197,1,0,3,13,26,107.6,3,21,0,8,0,0,0,0,0,0,0
Derrick Henry,TEN,0,0,0,0,0,0,0,0,,29,130,3,15,0,0,0,0,0,0,0
Cameron Batson,TEN,0,0,0,0,0,0,0,0,,2,15,0,11,0,0,0,0,0,0,0
Chester Rogers,TEN,0,0,0,0,0,0,0,0,,1,9,0,9,1,1,26,0,26,0,0
Jeremy McNichols,TEN,0,0,0,0,0,0,0,0,,1,9,0,9,2,2,26,0,25,0,0
Marcus Johnson,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,52,0,22,0,0
A.J. Brown,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,38,0,22,0,0
Anthony Firkser,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,33,0,14,0,0
MyCole Pruitt,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,1,14,0,0
Josh Reynolds,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Geoff Swaim,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Trevor Lawrence,JAX,23,33,273,1,1,2,17,58,92.1,7,28,1,8,0,0,0,0,0,0,0
James Robinson,JAX,0,0,0,0,0,0,0,0,,18,149,1,58,1,1,-2,0,-2,0,0
Carlos Hyde,JAX,0,0,0,0,0,0,0,0,,5,13,0,7,0,0,0,0,0,0,0
Jamal Agnew,JAX,0,0,0,0,0,0,0,0,,1,8,0,8,7,6,41,0,8,0,0
Dan Arnold,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,64,0,18,1,1
Laviska Shenault Jr.,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,58,0,58,0,0
Tavon Austin,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,54,0,22,0,0
Marvin Jones,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,6,1,25,0,25,0,0
Dare Ogunbowale,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,19,0,19,0,0
Luke Farrell,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,0,13,0,0
Jacob Hollister,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,1,0,0
