Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Ryan Tannehill,MIA,22,42,192,2,2,6,47,25,60.8,1,12,0,12,0,0,0,0,,1,1
Lamar Miller,MIA,0,0,0,0,0,0,0,,,18,89,0,18,3,3,23,0,13,0,0
Daniel Thomas,MIA,0,0,0,0,0,0,0,,,9,47,0,15,1,1,5,1,5,0,0
Mike Wallace,MIA,0,0,0,0,0,0,0,,,1,8,0,8,10,3,41,0,25,0,0
Charles Clay,MIA,0,0,0,0,0,0,0,,,1,1,0,1,8,5,37,0,11,0,0
Brian Hartline,MIA,0,0,0,0,0,0,0,,,0,0,0,,6,4,37,0,15,0,0
Rishard Matthews,MIA,0,0,0,0,0,0,0,,,0,0,0,,6,3,30,0,20,0,0
Michael Egnew,MIA,0,0,0,0,0,0,0,,,0,0,0,,2,1,11,0,11,0,0
Brandon Gibson,MIA,0,0,0,0,0,0,0,,,0,0,0,,2,1,4,1,4,0,0
Dion Sims,MIA,0,0,0,0,0,0,0,,,0,0,0,,2,1,4,0,4,0,0
Marcus Thigpen,MIA,0,0,0,0,0,0,0,,,1,-1,0,-1,0,0,0,0,,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Tom Brady,NWE,13,22,116,1,1,3,16,26,69.5,4,5,0,8,0,0,0,0,,0,0
Stevan Ridley,NWE,0,0,0,0,0,0,0,,,14,79,1,23,0,0,0,0,,0,0
LeGarrette Blount,NWE,0,0,0,0,0,0,0,,,11,46,0,19,0,0,0,0,,0,0
Brandon Bolden,NWE,0,0,0,0,0,0,0,,,8,22,1,8,2,2,7,0,5,0,0
Aaron Dobson,NWE,0,0,0,0,0,0,0,,,0,0,0,,5,4,60,1,26,0,0
Rob Gronkowski,NWE,0,0,0,0,0,0,0,,,0,0,0,,5,2,27,0,23,0,0
Danny Amendola,NWE,0,0,0,0,0,0,0,,,0,0,0,,6,3,15,0,8,0,0
Julian Edelman,NWE,0,0,0,0,0,0,0,,,0,0,0,,2,2,7,0,7,0,0
Kenbrell Thompkins,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
