Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Tony Romo,DAL,25,43,268,1,1,3,29,27,74.6,0,0,0,,0,0,0,0,,0,0
DeMarco Murray,DAL,0,0,0,0,0,0,0,,,21,53,1,7,6,4,22,0,7,0,0
Felix Jones,DAL,0,0,0,0,0,0,0,,,2,7,0,4,0,0,0,0,,0,0
Jason Witten,DAL,0,0,0,0,0,0,0,,,0,0,0,,4,4,62,0,25,0,0
Miles Austin,DAL,0,0,0,0,0,0,0,,,0,0,0,,10,4,46,0,15,0,0
Dwayne Harris,DAL,0,0,0,0,0,0,0,,,0,0,0,,8,3,33,0,21,0,0
Kevin Ogletree,DAL,0,0,0,0,0,0,0,,,0,0,0,,3,2,28,0,23,0,0
Lawrence Vickers,DAL,0,0,0,0,0,0,0,,,0,0,0,,3,2,18,0,11,0,0
Lance Dunbar,DAL,0,0,0,0,0,0,0,,,0,0,0,,1,1,6,0,6,0,0
James Hanna,DAL,0,0,0,0,0,0,0,,,0,0,0,,2,1,3,0,3,0,0
Dez Bryant,DAL,0,0,0,0,0,0,0,,,1,-11,0,-11,6,4,50,1,27,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Andy Dalton,CIN,20,33,206,1,1,5,16,25,76.1,1,0,0,0,0,0,0,0,,0,0
BenJarvus Green-Ellis,CIN,0,0,0,0,0,0,0,,,12,89,0,38,4,3,13,0,5,0,0
Marvin Jones,CIN,0,0,0,0,0,0,0,,,1,37,0,37,4,3,45,0,17,0,0
Brian Leonard,CIN,0,0,0,0,0,0,0,,,6,20,0,5,0,0,0,0,,0,0
Andrew Hawkins,CIN,0,0,0,0,0,0,0,,,0,0,0,,8,6,44,1,11,0,0
A.J. Green,CIN,0,0,0,0,0,0,0,,,0,0,0,,8,3,44,0,17,0,0
Jermaine Gresham,CIN,0,0,0,0,0,0,0,,,0,0,0,,7,4,43,0,25,0,0
Orson Charles,CIN,0,0,0,0,0,0,0,,,0,0,0,,1,1,17,0,17,0,0
Chris Pressley,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
