Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Derek Carr,LVR,25,38,236,1,1,2,6,17,80.6,3,7,0,6,0,0,0,0,0,2,1
Josh Jacobs,LVR,0,0,0,0,0,0,0,0,,15,52,0,9,4,3,42,0,17,0,0
Peyton Barber,LVR,0,0,0,0,0,0,0,0,,5,34,0,19,1,1,12,0,12,0,0
Marcus Mariota,LVR,0,0,0,0,0,0,0,0,,1,3,0,3,0,0,0,0,0,0,0
Dallin Leavitt,LVR,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
Zay Jones,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,67,0,16,0,0
Foster Moreau,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,65,0,14,0,0
Hunter Renfrow,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,32,0,13,2,0
DeSean Jackson,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,11,0,11,0,0
Bryan Edwards,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,8,1,8,1,0
Daniel Helm,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-1,0,-1,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Nick Mullens,CLE,20,30,147,1,0,0,0,25,89.2,0,0,0,0,0,0,0,0,0,0,0
Nick Chubb,CLE,0,0,0,0,0,0,0,0,,23,91,1,24,1,1,2,0,2,0,0
Donovan Peoples-Jones,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,48,0,25,0,0
David Njoku,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,29,0,13,0,0
Rashard Higgins,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,24,0,13,0,0
Demetric Felton,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,16,0,9,0,0
Harrison Bryant,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,11,1,6,0,0
D'Ernest Johnson,CLE,0,0,0,0,0,0,0,0,,1,-2,0,-2,4,4,17,0,6,0,0
