Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Lamar Jackson,BAL,16,31,287,1,1,4,16,41,81.0,7,58,0,31,0,0,0,0,0,1,0
Latavius Murray,BAL,0,0,0,0,0,0,0,0,,7,28,0,8,0,0,0,0,0,0,0
Ty'Son Williams,BAL,0,0,0,0,0,0,0,0,,5,22,0,12,1,0,0,0,0,0,0
Devonta Freeman,BAL,0,0,0,0,0,0,0,0,,3,8,0,5,0,0,0,0,0,0,0
Mark Andrews,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,109,0,41,0,0
Sammy Watkins,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,68,0,36,0,0
Marquise Brown,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,53,0,37,0,0
James Proche,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,29,0,29,0,0
Devin Duvernay,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,22,1,19,0,0
Josh Oliver,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jared Goff,DET,22,30,217,0,0,2,25,24,93.3,1,4,0,4,0,0,0,0,0,0,0
D'Andre Swift,DET,0,1,0,0,0,0,0,0,39.6,14,47,1,14,7,7,60,0,19,0,0
Jamaal Williams,DET,0,0,0,0,0,0,0,0,,12,42,1,14,2,2,25,0,15,0,0
Kalif Raymond,DET,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,68,0,22,0,0
Darren Fells,DET,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,35,0,24,0,0
T.J. Hockenson,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,10,0,5,0,0
KhaDarel Hodge,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Quintez Cephus,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Amon-Ra St. Brown,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0
Trinity Benson,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
