Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Aaron Rodgers,GNB,14,25,219,1,1,5,29,61,81.9,3,22,0,11,0,0,0,0,,1,1
Graham Harrell,GNB,1,2,11,0,0,0,0,11,66.7,0,0,0,,0,0,0,0,,0,0
James Starks,GNB,0,0,0,0,0,0,0,,,8,35,0,8,1,0,0,0,,0,0
Alex Green,GNB,0,0,0,0,0,0,0,,,10,30,0,8,4,3,20,0,15,0,0
John Kuhn,GNB,0,0,0,0,0,0,0,,,4,17,0,7,3,3,49,0,32,0,0
Randall Cobb,GNB,0,0,0,0,0,0,0,,,1,12,0,12,7,4,39,0,15,0,0
Jordy Nelson,GNB,0,0,0,0,0,0,0,,,0,0,0,,4,2,71,1,61,0,0
Jermichael Finley,GNB,0,0,0,0,0,0,0,,,0,0,0,,5,3,51,0,26,0,0
D.J. Williams,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Eli Manning,NYG,16,30,249,3,0,1,6,59,114.4,2,12,0,13,0,0,0,0,,0,0
Andre Brown,NYG,0,0,0,0,0,0,0,,,13,64,1,16,0,0,0,0,,0,0
Ahmad Bradshaw,NYG,0,0,0,0,0,0,0,,,10,58,1,13,3,2,61,0,59,0,0
David Wilson,NYG,0,0,0,0,0,0,0,,,6,13,0,4,1,1,5,0,5,0,0
Hakeem Nicks,NYG,0,0,0,0,0,0,0,,,0,0,0,,13,5,77,1,30,0,0
Martellus Bennett,NYG,0,0,0,0,0,0,0,,,0,0,0,,3,3,44,0,17,0,0
Victor Cruz,NYG,0,0,0,0,0,0,0,,,0,0,0,,6,3,36,1,17,0,0
Rueben Randle,NYG,0,0,0,0,0,0,0,,,0,0,0,,2,2,26,1,16,1,0
Henry Hynoski,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
