Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Tyson Bagent,CHI,25,37,232,0,2,1,10,41,62.0,4,-1,1,1,0,0,0,0,0,1,0
D'Onta Foreman,CHI,0,0,0,0,0,0,0,0,,9,34,0,12,2,1,2,0,2,0,0
Roschon Johnson,CHI,0,0,0,0,0,0,0,0,,6,21,0,11,4,3,10,0,7,0,0
Darrynton Evans,CHI,0,0,0,0,0,0,0,0,,4,18,1,11,4,3,22,0,8,0,0
Darnell Mooney,CHI,0,0,0,0,0,0,0,0,,1,3,0,3,4,1,41,0,41,0,0
Cole Kmet,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,10,10,79,0,17,0,0
D.J. Moore,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,55,0,18,0,0
Tyler Scott,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,11,0,11,0,0
Robert Tonyan,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Velus Jones Jr.,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,4,0,4,0,0
Khari Blasingame,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Trent Taylor,CHI,0,0,0,0,0,0,0,0,,1,-2,0,-2,0,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Justin Herbert,LAC,31,40,298,3,0,0,0,39,122.7,1,1,0,1,0,0,0,0,0,0,0
Austin Ekeler,LAC,0,0,0,0,0,0,0,0,,15,29,0,7,8,7,94,1,39,1,1
Joshua Kelley,LAC,0,0,0,0,0,0,0,0,,6,21,0,5,0,0,0,0,0,0,0
Isaiah Spiller,LAC,0,0,0,0,0,0,0,0,,3,3,0,2,1,1,5,0,5,0,0
Keenan Allen,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,10,8,69,0,26,0,0
Quentin Johnston,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,50,0,18,0,0
Donald Parham,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,43,1,17,0,0
Josh Palmer,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,24,0,9,0,0
Simi Fehoko,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,9,1,9,0,0
Derius Davis,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,4,0,5,0,0
