Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Carson Wentz,PHI,23,40,289,1,0,1,10,41,88.4,3,15,0,10,0,0,0,0,0,1,0
Boston Scott,PHI,0,0,0,0,0,0,0,0,,19,54,3,15,6,4,84,0,39,0,0
Miles Sanders,PHI,0,0,0,0,0,0,0,0,,9,52,0,21,5,3,-1,0,4,0,0
Dallas Goedert,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,10,4,65,0,28,0,0
Joshua Perkins,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,50,1,24,0,0
Deontay Burnett,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,48,0,41,0,0
Greg Ward,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,43,0,15,0,0
Robert Davis,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Daniel Jones,NYG,28,47,301,1,1,4,26,33,76.6,3,26,0,17,0,0,0,0,0,2,1
Saquon Barkley,NYG,0,0,0,0,0,0,0,0,,17,92,1,68,4,3,25,0,9,0,0
Javorius Allen,NYG,0,0,0,0,0,0,0,0,,1,4,0,4,2,1,9,0,9,0,0
Kaden Smith,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,11,8,98,0,25,1,0
Golden Tate,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,68,1,20,0,0
Darius Slayton,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,50,0,33,0,0
Sterling Shepard,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,10,5,39,0,17,0,0
Cody Latimer,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,12,0,9,0,0
