Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Jahleel Addae,HOU,1,1,0,1,1,0.0,2,2,0,0,0,0,0,0,0
Justin Reid,HOU,1,37,0,37,1,0.0,2,2,0,0,0,0,0,0,0
Brennan Scarlett,HOU,0,0,0,0,0,2.0,2,2,0,1,2,0,0,0,1
Briean Boddy-Calhoun,HOU,0,0,0,0,0,1.0,2,2,0,1,0,0,0,0,1
Carlos Watkins,HOU,0,0,0,0,0,1.0,2,1,1,1,1,0,0,0,0
Gareon Conley,HOU,0,0,0,0,3,0.0,8,8,0,0,0,0,0,0,0
Zach Cunningham,HOU,0,0,0,0,0,0.0,8,8,0,0,0,1,24,0,0
Johnathan Joseph,HOU,0,0,0,0,1,0.0,4,4,0,0,0,0,0,0,0
Peter Kalambayi,HOU,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Dylan Cole,HOU,0,0,0,0,0,0.0,3,3,0,0,0,1,27,0,0
Benardrick McKinney,HOU,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0
Whitney Mercilus,HOU,0,0,0,0,0,0.0,3,3,0,0,1,0,0,0,0
Cornell Armstrong,HOU,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
D.J. Reader,HOU,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Mike Adams,HOU,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Keion Crossen,HOU,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
Taiwan Jones,HOU,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jacob Martin,HOU,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,1
Charles Omenihu,HOU,0,0,0,0,1,0.0,1,0,1,0,0,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Calais Campbell,JAX,0,0,0,0,0,1.0,5,4,1,1,2,0,0,0,0
A.J. Bouye,JAX,0,0,0,0,1,0.0,7,6,1,0,0,0,0,0,0
Myles Jack,JAX,0,0,0,0,0,0.0,7,6,1,0,0,0,0,0,0
Breon Borders,JAX,0,0,0,0,0,0.0,6,6,0,0,0,1,0,0,0
Najee Goode,JAX,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
Abry Jones,JAX,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
Yannick Ngakoue,JAX,0,0,0,0,0,0.0,5,4,1,2,2,0,0,0,0
Tre Herndon,JAX,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Jarrod Wilson,JAX,0,0,0,0,0,0.0,4,4,0,0,1,0,0,0,1
Taven Bryan,JAX,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Josh Allen,JAX,0,0,0,0,0,0.0,2,2,0,0,1,0,0,0,0
Ronnie Harrison,JAX,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
Lerentee McCray,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Devine Ozigbo,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Dawuane Smoot,JAX,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
Akeem Spence,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Josh Lambo,JAX,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
