Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Ben Roethlisberger,PIT,24,36,263,2,1,1,8,50,95.0,3,-8,0,,0,0,0,0,,0,0
Le'Veon Bell,PIT,0,0,0,0,0,0,0,0,,10,32,0,15,6,3,15,0,10,0,0
James Conner,PIT,0,0,0,0,0,0,0,0,,4,11,0,5,0,0,0,0,0,0,0
Antonio Brown,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,11,11,182,0,50,1,0
Jesse James,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,41,2,19,0,0
Martavis Bryant,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,14,0,14,0,0
Eli Rogers,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,11,0,9,0,0
Vance McDonald,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
DeShone Kizer,CLE,20,30,222,1,1,7,42,29,85.7,5,17,1,,0,0,0,0,,0,0
Isaiah Crowell,CLE,0,0,0,0,0,0,0,,,17,33,0,,2,2,33,0,,0,0
Matthew Dayes,CLE,0,0,0,0,0,0,0,0,,3,7,0,3,2,2,9,0,8,0,0
Corey Coleman,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,53,1,23,0,0
Seth Devalve,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,42,0,21,0,0
Ricardo Louis,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,32,0,29,0,0
Duke Johnson,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,20,0,14,0,0
David Njoku,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,20,0,13,0,0
Kenny Britt,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,13,0,13,0,0
Kasen Williams,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
