Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Bryce Young,CAR,23,38,217,1,0,4,36,27,85.1,0,0,0,0,0,0,0,0,0,1,0
Johnny Hekker,CAR,1,1,7,0,0,0,0,7,95.8,0,0,0,0,0,0,0,0,0,0,0
Chuba Hubbard,CAR,0,0,0,0,0,0,0,0,,19,88,1,19,1,1,2,0,2,0,0
Raheem Blackshear,CAR,0,0,0,0,0,0,0,0,,5,18,0,9,1,1,4,0,4,0,0
Laviska Shenault Jr.,CAR,0,0,0,0,0,0,0,0,,1,2,0,2,3,3,15,0,8,0,0
Adam Thielen,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,13,11,115,1,27,0,0
DJ Chark,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,26,0,24,0,0
Tommy Tremble,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,25,0,21,0,0
Jonathan Mingo,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,21,0,11,0,0
Hayden Hurst,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,16,0,16,0,0
Terrace Marshall Jr.,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Tua Tagovailoa,MIA,21,31,262,3,0,0,0,47,126.0,1,0,0,0,0,0,0,0,0,1,0
Mike White,MIA,0,1,0,0,1,0,0,0,0.0,3,-4,0,-1,0,0,0,0,0,0,0
Raheem Mostert,MIA,0,0,0,0,0,0,0,0,,17,115,2,49,3,3,17,1,8,0,0
Chris Brooks,MIA,0,0,0,0,0,0,0,0,,6,28,0,28,0,0,0,0,0,0,0
Salvon Ahmed,MIA,0,0,0,0,0,0,0,0,,6,23,1,9,5,3,11,0,9,0,0
Tyreek Hill,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,163,1,47,0,0
Jaylen Waddle,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,51,1,17,0,0
Braxton Berrios,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,20,0,10,0,0
Durham Smythe,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
