Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Andy Dalton,CIN,29,41,269,2,0,4,20,22,104.6,6,34,0,13,0,0,0,0,,0,0
Giovani Bernard,CIN,0,0,0,0,0,0,0,,,9,50,0,14,6,6,46,0,11,0,0
Jeremy Hill,CIN,0,0,0,0,0,0,0,,,4,12,0,8,1,0,0,0,,0,0
Brandon LaFell,CIN,0,0,0,0,0,0,0,,,0,0,0,,11,8,68,2,14,0,0
A.J. Green,CIN,0,0,0,0,0,0,0,,,0,0,0,,8,4,50,0,22,0,0
C.J. Uzomah,CIN,0,0,0,0,0,0,0,,,0,0,0,,5,5,43,0,14,0,0
Tyler Boyd,CIN,0,0,0,0,0,0,0,,,0,0,0,,5,3,33,0,20,0,0
Tyler Kroft,CIN,0,0,0,0,0,0,0,,,0,0,0,,3,3,29,0,13,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Dak Prescott,DAL,18,24,227,1,0,1,5,31,117.9,7,4,1,5,0,0,0,0,,2,1
Ezekiel Elliott,DAL,0,0,0,0,0,0,0,,,15,134,2,60,4,3,37,0,22,0,0
Alfred Morris,DAL,0,0,0,0,0,0,0,,,6,33,0,17,1,0,0,0,,0,0
Lucky Whitehead,DAL,0,0,0,0,0,0,0,,,1,9,0,9,0,0,0,0,,1,0
Terrance Williams,DAL,0,0,0,0,0,0,0,,,0,0,0,,5,5,70,0,21,0,0
Cole Beasley,DAL,0,0,0,0,0,0,0,,,0,0,0,,4,4,53,1,18,0,0
Jason Witten,DAL,0,0,0,0,0,0,0,,,0,0,0,,5,3,43,0,31,0,0
Brice Butler,DAL,0,0,0,0,0,0,0,,,0,0,0,,3,2,20,0,13,0,0
Rod Smith,DAL,0,0,0,0,0,0,0,,,0,0,0,,1,1,4,0,4,0,0
Geoff Swaim,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
