Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Chad Henne,JAX,25,41,298,2,3,7,45,30,69.0,2,13,0,9,0,0,0,0,,0,0
Keith Toston,JAX,0,0,0,0,0,0,0,,,17,74,0,14,4,3,41,0,21,0,0
Richard Murphy,JAX,0,0,0,0,0,0,0,,,3,24,0,14,0,0,0,0,,0,0
Justin Blackmon,JAX,0,0,0,0,0,0,0,,,1,11,0,11,13,6,79,1,30,1,0
Marcedes Lewis,JAX,0,0,0,0,0,0,0,,,0,0,0,,10,7,103,0,25,0,0
Jordan Shipley,JAX,0,0,0,0,0,0,0,,,0,0,0,,9,7,51,1,14,0,0
Toney Clemons,JAX,0,0,0,0,0,0,0,,,0,0,0,,4,2,24,0,17,0,0
Mike Brown,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jake Locker,TEN,9,15,152,0,0,2,10,42,94.3,5,3,0,3,0,0,0,0,,0,0
Chris Johnson,TEN,0,0,0,0,0,0,0,,,21,56,1,19,1,1,9,0,9,0,0
Collin Mooney,TEN,0,0,0,0,0,0,0,,,5,19,0,8,0,0,0,0,,0,0
Darius Reynaud,TEN,0,0,0,0,0,0,0,,,3,1,0,3,0,0,0,0,,0,0
Lavelle Hawkins,TEN,0,0,0,0,0,0,0,,,0,0,0,,1,1,42,0,42,0,0
Kendall Wright,TEN,0,0,0,0,0,0,0,,,0,0,0,,3,2,40,0,36,0,0
Nate Washington,TEN,0,0,0,0,0,0,0,,,0,0,0,,2,1,21,0,21,0,0
Kenny Britt,TEN,0,0,0,0,0,0,0,,,0,0,0,,5,2,21,0,11,0,0
Taylor Thompson,TEN,0,0,0,0,0,0,0,,,0,0,0,,4,2,19,0,12,0,0
