Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Tua Tagovailoa,MIA,36,50,469,6,2,1,8,60,124.1,1,1,0,1,0,0,0,0,0,0,0
Raheem Mostert,MIA,0,0,0,0,0,0,0,0,,11,51,0,11,3,3,28,0,13,0,0
Chase Edmonds,MIA,0,0,0,0,0,0,0,0,,5,33,0,28,3,1,8,0,8,0,0
Alec Ingold,MIA,0,0,0,0,0,0,0,0,,1,1,0,1,2,2,15,0,13,0,0
Tyreek Hill,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,13,11,190,2,60,0,0
Jaylen Waddle,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,19,11,171,2,59,0,0
Mike Gesicki,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,41,1,14,0,0
Trent Sherfield,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,9,0,12,0,0
Durham Smythe,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
River Cracraft,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,2,1,2,0,0
Cedrick Wilson Jr.,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Lamar Jackson,BAL,21,29,318,3,0,0,0,75,142.6,9,119,1,79,0,0,0,0,0,1,0
Justice Hill,BAL,0,0,0,0,0,0,0,0,,3,16,0,13,0,0,0,0,0,0,0
Kenyan Drake,BAL,0,0,0,0,0,0,0,0,,6,8,0,6,0,0,0,0,0,0,0
Patrick Ricard,BAL,0,0,0,0,0,0,0,0,,1,5,0,5,0,0,0,0,0,0,0
Mike Davis,BAL,0,0,0,0,0,0,0,0,,5,4,0,3,0,0,0,0,0,0,0
Mark Andrews,BAL,0,0,0,0,0,0,0,0,,1,3,0,3,11,9,104,1,25,0,0
Rashod Bateman,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,108,1,75,0,0
Isaiah Likely,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,43,0,34,0,0
Devin Duvernay,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,42,0,26,0,0
Demarcus Robinson,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,12,1,12,0,0
Tylan Wallace,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,9,0,9,0,0
