Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Matthew Stafford,DET,19,31,223,1,1,0,0,48,80.4,5,14,0,17,0,0,0,0,0,0,0
D'Andre Swift,DET,0,0,0,0,0,0,0,0,,14,116,2,54,4,3,7,0,3,0,0
Adrian Peterson,DET,0,0,0,0,0,0,0,0,,15,40,1,8,1,1,18,0,18,0,0
Kerryon Johnson,DET,0,0,0,0,0,0,0,0,,4,9,0,9,2,1,11,0,11,0,0
Marvin Hall,DET,0,0,0,0,0,0,0,0,,1,1,0,1,2,1,6,0,6,0,0
Kenny Golladay,DET,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,105,0,48,0,0
Danny Amendola,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,31,0,19,0,0
T.J. Hockenson,DET,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,17,1,16,0,0
Jamal Agnew,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,17,0,11,0,0
Marvin Jones,DET,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,8,0,6,0,0
Jesse James,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,3,0,3,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Gardner Minshew II,JAX,25,44,243,1,1,1,12,51,70.5,3,14,1,9,1,1,0,0,0,1,1
James Robinson,JAX,0,0,0,0,0,0,0,0,,12,29,0,8,4,4,24,1,14,1,0
Laviska Shenault Jr.,JAX,0,0,0,0,0,0,0,0,,1,1,0,1,7,3,10,0,4,0,0
Keelan Cole,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,143,0,51,0,0
DJ Chark,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,14,7,45,0,14,0,0
Chris Thompson,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,15,0,8,0,0
Chris Conley,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0
Tyler Davis,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
James O'Shaughnessy,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
