Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jacoby Brissett,IND,25,39,233,2,1,4,17,24,86.8,1,6,0,,0,0,0,0,,0,0
Frank Gore,IND,0,0,0,0,0,0,0,0,,16,82,0,15,4,4,19,0,12,0,0
Marlon Mack,IND,0,0,0,0,0,0,0,0,,11,27,0,8,5,3,36,1,24,0,0
Jack Doyle,IND,0,0,0,0,0,0,0,0,,0,0,0,0,14,12,121,1,17,0,0
Kamar Aiken,IND,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,33,0,21,0,0
T.Y. Hilton,IND,0,0,0,0,0,0,0,0,,0,0,0,0,7,2,15,0,17,0,0
Chester Rogers,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,9,0,9,0,0
Donte Moncrief,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Andy Dalton,CIN,17,29,243,2,0,3,25,67,108.8,3,10,0,,0,0,0,0,,0,0
Joe Mixon,CIN,0,0,0,0,0,0,0,0,,11,18,0,7,3,3,91,0,67,1,1
Alex Erickson,CIN,0,0,0,0,0,0,0,0,,1,14,0,14,0,0,0,0,0,2,1
Jeremy Hill,CIN,0,0,0,0,0,0,0,0,,4,11,0,10,0,0,0,0,0,0,0
Giovani Bernard,CIN,0,0,0,0,0,0,0,0,,2,5,0,3,2,0,0,0,0,0,0
Tyler Kroft,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,46,0,19,0,0
Brandon LaFell,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,44,0,17,1,0
Josh Malone,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,35,1,25,0,0
A.J. Green,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,27,1,14,0,0
John Ross,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
