Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Ryan Tannehill,TEN,11,20,117,0,2,2,16,19,32.7,1,2,0,2,0,0,0,0,0,0,0
Malik Willis,TEN,1,4,6,0,0,0,0,6,39.6,4,16,0,8,0,0,0,0,0,1,1
Hassan Haskins,TEN,0,0,0,0,0,0,0,0,,9,37,0,9,1,1,0,0,0,0,0
Derrick Henry,TEN,0,0,0,0,0,0,0,0,,13,25,1,9,0,0,0,0,0,0,0
Treylon Burks,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,47,0,16,0,0
Robert Woods,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,39,0,17,0,0
Austin Hooper,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,19,0,19,0,0
Nick Westbrook-Ikhine,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,13,0,13,0,0
Kyle Philips,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,1,1
Josh Gordon,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Josh Allen,BUF,26,38,317,4,0,1,4,46,128.9,1,10,0,10,0,0,0,0,0,0,0
Case Keenum,BUF,0,2,0,0,0,0,0,0,39.6,3,2,0,4,0,0,0,0,0,0,0
James Cook,BUF,0,0,0,0,0,0,0,0,,11,53,0,33,1,0,0,0,0,0,0
Devin Singletary,BUF,0,0,0,0,0,0,0,0,,6,19,0,16,3,2,2,0,1,0,0
Zack Moss,BUF,0,0,0,0,0,0,0,0,,3,17,0,17,1,0,0,0,0,0,0
Stefon Diggs,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,15,12,148,3,46,0,0
Jake Kumerow,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,50,0,39,0,0
Dawson Knox,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,41,0,15,0,0
Isaiah McKenzie,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,37,0,28,0,0
Reggie Gilliam,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,17,1,11,0,0
Jamison Crowder,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,16,0,16,0,0
Quintin Morris,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Khalil Shakir,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
