Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Robert Griffin III,WAS,26,40,320,3,1,1,6,44,104.2,4,1,0,4,0,0,0,0,,0,0
Alfred Morris,WAS,0,0,0,0,0,0,0,,,13,107,0,32,2,2,13,0,17,0,0
Pierre Garcon,WAS,0,0,0,0,0,0,0,,,0,0,0,,12,8,143,1,44,0,0
Santana Moss,WAS,0,0,0,0,0,0,0,,,0,0,0,,5,3,41,1,19,0,0
Josh Morgan,WAS,0,0,0,0,0,0,0,,,0,0,0,,6,2,39,0,21,0,0
Leonard Hankerson,WAS,0,0,0,0,0,0,0,,,0,0,0,,3,3,35,0,15,0,0
Jordan Reed,WAS,0,0,0,0,0,0,0,,,0,0,0,,3,3,18,1,11,0,0
Aldrick Robinson,WAS,0,0,0,0,0,0,0,,,0,0,0,,2,1,13,0,13,0,0
Logan Paulsen,WAS,0,0,0,0,0,0,0,,,0,0,0,,3,2,13,0,7,0,0
Fred Davis,WAS,0,0,0,0,0,0,0,,,0,0,0,,2,1,3,0,3,0,0
Roy Helu,WAS,0,0,0,0,0,0,0,,,0,0,0,,1,1,2,0,2,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Aaron Rodgers,GNB,34,42,480,4,0,4,39,57,146.0,3,-3,0,-1,0,0,0,0,,0,0
James Starks,GNB,0,0,0,0,0,0,0,,,20,132,1,32,5,4,36,0,15,0,0
Eddie Lacy,GNB,0,0,0,0,0,0,0,,,1,10,0,10,0,0,0,0,,0,0
James Jones,GNB,0,0,0,0,0,0,0,,,0,0,0,,12,11,178,0,57,1,1
Randall Cobb,GNB,0,0,0,0,0,0,0,,,0,0,0,,10,9,128,1,35,0,0
Jordy Nelson,GNB,0,0,0,0,0,0,0,,,0,0,0,,4,3,66,2,37,0,0
Jermichael Finley,GNB,0,0,0,0,0,0,0,,,0,0,0,,7,6,65,1,27,0,0
Andrew Quarless,GNB,0,0,0,0,0,0,0,,,0,0,0,,3,1,7,0,7,0,0
