Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Mitchell Trubisky,CHI,15,21,202,1,1,1,4,35,97.7,8,34,0,8,0,0,0,0,0,0,0
David Montgomery,CHI,0,0,0,0,0,0,0,0,,32,146,2,19,2,1,16,0,16,0,0
Darnell Mooney,CHI,0,0,0,0,0,0,0,0,,1,16,0,16,5,4,49,1,22,0,0
Cordarrelle Patterson,CHI,0,0,0,0,0,0,0,0,,1,3,0,3,1,1,4,0,4,0,0
Allen Robinson,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,83,0,35,0,0
Jimmy Graham,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,25,0,16,0,0
Anthony Miller,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,0,13,0,0
Cole Kmet,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,12,0,7,0,0
Javon Wims,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
J.P. Holtz,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Kirk Cousins,MIN,24,35,271,2,1,3,22,30,98.6,3,25,0,10,0,0,0,0,0,1,0
Dalvin Cook,MIN,0,0,0,0,0,0,0,0,,24,132,1,20,5,5,27,0,13,0,0
Alexander Mattison,MIN,0,0,0,0,0,0,0,0,,1,1,0,1,1,1,14,0,14,0,0
Justin Jefferson,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,11,8,104,0,26,0,0
Tyler Conklin,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,57,1,30,0,0
Irv Smith Jr.,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,37,0,21,0,0
Chad Beebe,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,21,0,12,0,0
Adam Thielen,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,11,1,8,0,0
