Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Justin Fields,CHI,17,29,291,1,1,3,13,50,89.9,8,45,0,8,0,0,0,0,0,0,0
David Montgomery,CHI,0,0,0,0,0,0,0,0,,13,63,0,21,2,2,17,0,11,0,0
Darnell Mooney,CHI,0,0,0,0,0,0,0,0,,1,15,1,15,6,3,41,1,20,0,0
Khalil Herbert,CHI,0,0,0,0,0,0,0,0,,4,13,0,8,0,0,0,0,0,0,0
Cole Kmet,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,87,0,25,0,0
Allen Robinson,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,68,0,39,0,0
Marquise Goodwin,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,50,0,50,0,0
Jimmy Graham,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,28,0,28,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Ben Roethlisberger,PIT,21,30,205,2,0,4,30,42,111.1,2,0,0,1,0,0,0,0,0,0,0
Najee Harris,PIT,0,0,0,0,0,0,0,0,,22,62,1,13,3,3,16,0,9,0,0
James Washington,PIT,0,0,0,0,0,0,0,0,,2,13,0,12,3,1,42,0,42,0,0
Chase Claypool,PIT,0,0,0,0,0,0,0,0,,2,13,0,11,5,3,30,0,26,0,0
Diontae Johnson,PIT,0,0,0,0,0,0,0,0,,2,11,0,11,6,5,56,0,22,0,0
Benny Snell Jr.,PIT,0,0,0,0,0,0,0,0,,2,6,0,5,0,0,0,0,0,0,0
Pat Freiermuth,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,43,2,13,0,0
Ray-Ray McCloud,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,0,12,1,1
Derek Watt,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0
Kalen Ballage,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0
Kevin Rader,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0
