Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Tony Romo,DAL,20,27,246,3,0,1,6,68,138.8,0,0,0,,0,0,0,0,,0,0
Brandon Weeden,DAL,1,1,8,0,0,0,0,8,100.0,3,-3,0,-1,0,0,0,0,,0,0
DeMarco Murray,DAL,0,0,0,0,0,0,0,,,19,100,0,23,7,6,31,0,17,0,0
Joseph Randle,DAL,0,0,0,0,0,0,0,,,7,56,1,40,0,0,0,0,,0,0
Dez Bryant,DAL,0,0,0,0,0,0,0,,,0,0,0,,8,6,158,2,68,0,0
Jason Witten,DAL,0,0,0,0,0,0,0,,,0,0,0,,7,5,33,1,15,0,0
Gavin Escobar,DAL,0,0,0,0,0,0,0,,,0,0,0,,1,1,14,0,14,0,0
Cole Beasley,DAL,0,0,0,0,0,0,0,,,0,0,0,,1,1,11,0,11,1,1
Lance Dunbar,DAL,0,0,0,0,0,0,0,,,0,0,0,,2,2,7,0,4,0,0
Terrance Williams,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Dwayne Harris,DAL,0,0,0,0,0,0,0,,,1,-2,0,-2,0,0,0,0,,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Blake Bortles,JAX,22,37,290,0,1,4,28,53,73.0,3,3,0,1,0,0,0,0,,1,0
Denard Robinson,JAX,0,0,0,0,0,0,0,,,15,60,2,32,3,2,10,0,9,1,1
Jordan Todman,JAX,0,0,0,0,0,0,0,,,2,6,0,3,6,3,27,0,13,0,0
Toby Gerhart,JAX,0,0,0,0,0,0,0,,,4,2,0,2,0,0,0,0,,0,0
Cecil Shorts,JAX,0,0,0,0,0,0,0,,,0,0,0,,7,5,119,0,53,0,0
Allen Robinson,JAX,0,0,0,0,0,0,0,,,0,0,0,,10,5,60,0,31,0,0
Clay Harbor,JAX,0,0,0,0,0,0,0,,,0,0,0,,4,3,28,0,15,0,0
Nic Jacobs,JAX,0,0,0,0,0,0,0,,,0,0,0,,1,1,14,0,14,0,0
Marqise Lee,JAX,0,0,0,0,0,0,0,,,0,0,0,,3,1,13,0,13,0,0
Ace Sanders,JAX,0,0,0,0,0,0,0,,,0,0,0,,1,1,10,0,10,1,1
Allen Hurns,JAX,0,0,0,0,0,0,0,,,0,0,0,,2,1,9,0,9,0,0
