Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Ryan Tannehill,TEN,29,43,249,2,0,1,2,23,97.9,3,14,0,11,0,0,0,0,0,0,0
Derrick Henry,TEN,0,0,0,0,0,0,0,0,,31,116,0,13,3,3,15,0,6,0,0
Corey Davis,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,101,0,23,0,0
Adam Humphries,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,47,0,10,0,0
A.J. Brown,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,39,0,12,0,0
Jonnu Smith,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,36,1,22,0,0
Anthony Firkser,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,5,0,6,0,0
Khari Blasingame,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
MyCole Pruitt,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,1,0,0
Kalif Raymond,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Jeremy McNichols,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Drew Lock,DEN,22,33,216,1,0,0,0,31,95.0,3,5,0,3,0,0,0,0,0,2,0
Melvin Gordon,DEN,0,0,0,0,0,0,0,0,,15,78,1,25,3,3,8,0,8,1,1
Phillip Lindsay,DEN,0,0,0,0,0,0,0,0,,7,24,0,10,1,1,11,0,11,0,0
Noah Fant,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,81,1,31,0,0
Jerry Jeudy,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,56,0,25,1,0
Tim Patrick,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,29,0,15,0,0
DaeSean Hamilton,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,18,0,18,0,0
Royce Freeman,DEN,0,0,0,0,0,0,0,0,,1,0,0,0,1,1,12,0,12,0,0
Tyrie Cleveland,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
Jake Butt,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,0,0,0,0,0
Nick Vannett,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,-6,0,-6,0,0
