Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Kenny Moore,IND,1,1,0,1,1,0.0,8,5,3,0,1,0,0,0,0
Ben Banogu,IND,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
Anthony Walker,IND,0,0,0,0,0,0.0,8,5,3,0,0,0,0,0,0
Malik Hooker,IND,0,0,0,0,0,0.0,7,2,5,0,0,0,0,0,0
Shaquille Leonard,IND,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,1
Justin Houston,IND,0,0,0,0,0,0.0,5,4,1,1,0,0,0,0,0
Bobby Okereke,IND,0,0,0,0,1,0.0,4,2,2,0,0,0,0,0,1
Marvell Tell III,IND,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Denico Autry,IND,0,0,0,0,0,0.0,3,1,2,1,0,0,0,0,0
Clayton Geathers,IND,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Al-Quadin Muhammad,IND,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0
Pierre Desir,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Margus Hunt,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
George Odum,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jabaal Sheard,IND,0,0,0,0,1,0.0,1,1,0,0,2,0,0,0,0
Grover Stewart,IND,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Jacob Martin,HOU,0,0,0,0,0,1.0,1,1,0,1,1,1,0,0,0
Zach Cunningham,HOU,0,0,0,0,0,0.0,16,13,3,0,0,0,0,0,0
Benardrick McKinney,HOU,0,0,0,0,0,0.0,11,6,5,0,0,0,0,0,0
Jahleel Addae,HOU,0,0,0,0,0,0.0,8,6,2,0,0,0,0,0,0
Brennan Scarlett,HOU,0,0,0,0,0,0.0,6,5,1,1,1,0,0,0,0
Vernon Hargreaves III,HOU,0,0,0,0,1,0.0,5,3,2,0,0,0,0,0,0
Whitney Mercilus,HOU,0,0,0,0,0,0.0,4,3,1,1,1,0,0,0,0
Carlos Watkins,HOU,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
Brandon Dunn,HOU,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Tashaun Gipson,HOU,0,0,0,0,1,0.0,3,1,2,0,0,0,0,0,0
Johnathan Joseph,HOU,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0
D.J. Reader,HOU,0,0,0,0,0,0.0,3,1,2,0,1,0,0,0,0
Gareon Conley,HOU,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Taiwan Jones,HOU,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Angelo Blackson,HOU,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Keion Crossen,HOU,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Peter Kalambayi,HOU,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Deshaun Watson,HOU,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
