Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jacoby Brissett,IND,16,25,129,0,0,1,8,14,76.9,4,20,1,8,0,0,0,0,0,0,0
Jonathan Williams,IND,0,0,0,0,0,0,0,0,,26,104,1,13,3,3,17,0,8,0,0
Nyheim Hines,IND,0,0,0,0,0,0,0,0,,9,51,0,18,3,2,10,0,5,0,0
Eric Ebron,IND,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,44,0,14,0,0
Jack Doyle,IND,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,28,0,12,0,0
T.Y. Hilton,IND,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,18,0,8,0,0
Chester Rogers,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,0,12,0,0
Marcus Johnson,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Zach Pascal,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Deshaun Watson,HOU,19,30,298,2,1,1,1,51,104.6,3,10,0,6,0,0,0,0,0,1,0
Carlos Hyde,HOU,0,0,0,0,0,0,0,0,,16,67,0,33,0,0,0,0,0,0,0
Duke Johnson,HOU,0,0,0,0,0,0,0,0,,5,22,0,19,1,1,8,0,8,0,0
Will Fuller,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,11,7,140,0,51,0,0
DeAndre Hopkins,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,94,2,35,0,0
Jordan Akins,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,26,0,13,0,0
Darren Fells,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,24,0,24,0,0
Kenny Stills,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0
