Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Patrick Mahomes,KAN,31,42,385,4,0,0,0,49,133.5,4,26,1,12,0,0,0,0,0,0,0
Clyde Edwards-Helaire,KAN,0,0,0,0,0,0,0,0,,20,64,0,16,6,5,70,0,24,0,0
Tyreek Hill,KAN,0,0,0,0,0,0,0,0,,2,25,0,22,6,5,77,1,33,0,0
Darwin Thompson,KAN,0,0,0,0,0,0,0,0,,2,11,0,10,2,0,0,0,0,1,1
Darrel Williams,KAN,0,0,0,0,0,0,0,0,,2,6,0,6,2,2,1,0,5,0,0
Travis Kelce,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,87,0,29,0,0
Mecole Hardman,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,81,1,49,0,0
Sammy Watkins,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,62,0,15,0,0
Anthony Sherman,KAN,0,0,0,0,0,0,0,0,,1,0,0,0,1,1,5,1,5,0,0
Eric Fisher,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,1,2,0,0
Demarcus Robinson,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Nick Keizer,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Lamar Jackson,BAL,15,28,97,1,0,4,27,19,73.1,9,83,0,30,0,0,0,0,0,2,1
Gus Edwards,BAL,0,0,0,0,0,0,0,0,,4,39,0,24,0,0,0,0,0,0,0
Mark Ingram,BAL,0,0,0,0,0,0,0,0,,7,30,0,11,1,0,0,0,0,0,0
J.K. Dobbins,BAL,0,0,0,0,0,0,0,0,,1,6,0,6,4,4,38,0,19,0,0
Mark Andrews,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,22,0,13,1,0
Marquise Brown,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,13,0,7,0,0
Miles Boykin,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,0,8,0,0
Devin Duvernay,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,7,0,7,0,0
Nick Boyle,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,1,5,0,0
Willie Snead,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,4,0,4,0,0
