Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Dak Prescott,DAL,26,40,238,1,1,1,7,41,79.0,3,-3,0,-1,0,0,0,0,0,0,0
Tony Pollard,DAL,0,0,0,0,0,0,0,0,,7,71,1,58,4,2,3,0,2,0,0
Ezekiel Elliott,DAL,0,0,0,0,0,0,0,0,,13,45,0,10,3,2,2,0,1,0,0
CeeDee Lamb,DAL,0,0,0,0,0,0,0,0,,1,33,0,33,13,7,89,0,25,0,0
Dalton Schultz,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,43,0,12,0,0
Amari Cooper,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,41,0,41,0,0
Michael Gallup,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,36,1,17,0,0
Noah Brown,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,14,0,9,0,0
Malik Turner,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Taysom Hill,NOR,19,41,264,2,4,2,12,70,44.2,11,101,0,24,0,0,0,0,0,0,0
Mark Ingram,NOR,0,0,0,0,0,0,0,0,,10,28,0,9,2,1,-2,0,-2,0,0
Ty Montgomery,NOR,0,0,0,0,0,0,0,0,,4,21,0,9,7,4,9,0,13,0,0
Deonte Harty,NOR,0,0,0,0,0,0,0,0,,1,3,0,3,8,4,96,1,70,0,0
Lil'Jordan Humphrey,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,49,1,25,0,0
Nick Vannett,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,48,0,30,0,0
Juwan Johnson,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,27,0,27,0,0
Tre'Quan Smith,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,7,2,15,0,9,0,0
Marquez Callaway,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,13,0,13,0,0
Garrett Griffin,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,1,0
Kenny Stills,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0
