Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
C.J. Stroud,HOU,23,39,356,1,1,1,0,34,87.1,2,8,1,8,0,0,0,0,0,2,2
Devin Singletary,HOU,0,0,0,0,0,0,0,0,,30,150,1,22,2,1,11,0,11,0,0
Xavier Hutchinson,HOU,0,0,0,0,0,0,0,0,,1,17,0,17,1,0,0,0,0,0,0
Tank Dell,HOU,0,0,0,0,0,0,0,0,,1,13,0,13,14,6,56,1,17,0,0
Noah Brown,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,172,0,34,0,0
Dalton Schultz,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,71,0,25,0,0
John Metchie,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,25,0,19,0,0
Robert Woods,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,15,0,15,0,0
Mike Boone,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,6,0,4,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Joe Burrow,CIN,27,40,347,2,2,4,33,64,90.3,5,20,0,17,0,0,0,0,0,1,0
Joe Mixon,CIN,0,0,0,0,0,0,0,0,,11,46,1,15,3,2,-1,0,0,0,0
Ja'Marr Chase,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,124,1,64,0,0
Tyler Boyd,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,12,8,117,0,64,0,0
Trenton Irwin,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,54,1,32,0,0
Tanner Hudson,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,33,0,13,0,0
Drew Sample,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,12,0,9,0,0
Irv Smith Jr.,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Trayveon Williams,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0
Andrei Iosivas,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Mitchell Wilcox,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
