Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Geno Smith,SEA,24,30,197,0,1,2,17,27,80.1,2,2,0,3,0,0,0,0,0,0,0
DeeJay Dallas,SEA,0,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
Rashaad Penny,SEA,0,0,0,0,0,0,0,0,,6,15,0,6,0,0,0,0,0,0,0
Kenneth Walker III,SEA,0,0,0,0,0,0,0,0,,4,10,0,8,3,2,5,0,3,0,0
Travis Homer,SEA,0,0,0,0,0,0,0,0,,2,9,0,5,4,4,33,0,17,0,0
Tyler Lockett,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,11,9,107,0,27,0,0
D.K. Metcalf,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,35,0,12,0,0
Noah Fant,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,11,0,7,0,0
D'Wayne Eskridge,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Will Dissly,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0,2,0,0
Marquise Goodwin,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jimmy Garoppolo,SFO,13,21,154,1,0,1,0,38,100.1,4,5,1,3,0,0,0,0,0,0,0
Trey Lance,SFO,2,3,30,0,0,0,0,25,99.3,3,13,0,7,0,0,0,0,0,0,0
Jeff Wilson,SFO,0,0,0,0,0,0,0,0,,18,84,0,16,2,2,19,0,14,0,0
Deebo Samuel,SFO,0,0,0,0,0,0,0,0,,4,53,0,51,6,5,44,0,15,1,0
Tyrion Davis-Price,SFO,0,0,0,0,0,0,0,0,,14,33,0,20,0,0,0,0,0,0,0
Kyle Juszczyk,SFO,0,0,0,0,0,0,0,0,,2,1,1,1,1,0,0,0,0,0,0
Brandon Aiyuk,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,63,0,25,0,0
Ross Dwelley,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,38,1,38,0,0
Ray-Ray McCloud,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,16,0,16,0,0
Jauan Jennings,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,4,0,4,0,0
Danny Gray,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
