Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Roger McCreary,TEN,0,0,0,0,0,1.0,10,5,5,1,1,0,0,0,0
Azeez Al-Shaair,TEN,0,0,0,0,0,1.0,9,3,6,2,1,0,0,0,0
Denico Autry,TEN,0,0,0,0,0,1.0,2,2,0,1,2,0,0,0,1
Amani Hooker,TEN,0,0,0,0,0,0.0,11,9,2,0,0,0,0,0,0
Kristian Fulton,TEN,0,0,0,0,0,0.0,9,7,2,1,0,0,0,0,0
Jack Gibbens,TEN,0,0,0,0,0,0.0,8,5,3,0,1,0,0,0,0
Sean Murphy-Bunting,TEN,0,0,0,0,0,0.0,6,6,0,0,0,1,5,0,1
Elijah Molden,TEN,0,0,0,0,0,0.0,4,2,2,1,0,0,0,0,0
Chance Campbell,TEN,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Arden Key,TEN,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Teair Tart,TEN,0,0,0,0,0,0.0,3,3,0,1,0,0,0,0,0
Kevin Byard,TEN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Luke Gifford,TEN,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Jaleel Johnson,TEN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Harold Landry,TEN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Jeffery Simmons,TEN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Rashad Weaver,TEN,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Matthew Jackson,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Naquan Jones,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Kyle Peko,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Monty Rice,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Derrick Henry,TEN,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Myles Garrett,CLE,0,0,0,0,0,3.5,5,4,1,3,5,0,0,0,1
Alex Wright,CLE,0,0,0,0,0,1.0,4,3,1,1,1,0,0,0,0
Ogbonnia Okoronkwo,CLE,0,0,0,0,0,0.5,2,1,1,1,1,0,0,0,0
Jeremiah Owusu-Koramoah,CLE,0,0,0,0,0,0.0,6,4,2,1,0,0,0,0,0
Anthony Walker,CLE,0,0,0,0,1,0.0,5,3,2,0,0,0,0,0,0
Denzel Ward,CLE,0,0,0,0,2,0.0,4,3,1,1,0,0,0,0,0
Martin Emerson,CLE,0,0,0,0,1,0.0,3,3,0,1,0,0,0,0,0
Grant Delpit,CLE,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Maurice Hurst Jr.,CLE,0,0,0,0,0,0.0,2,2,0,1,1,0,0,0,0
Za'Darius Smith,CLE,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Juan Thornhill,CLE,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Mohamoud Diabate,CLE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Shelby Harris,CLE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Rodney McLeod,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Cameron Mitchell,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Sione Takitaki,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Dalvin Tomlinson,CLE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Elijah Moore,CLE,0,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0
Donovan Peoples-Jones,CLE,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
