Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Carson Wentz,PHI,33,50,348,2,0,4,33,56,99.4,2,8,0,,0,0,0,0,,1,1
Jay Ajayi,PHI,0,0,0,0,0,0,0,0,,15,70,0,15,4,3,11,0,12,0,0
Wendell Smallwood,PHI,0,0,0,0,0,0,0,0,,5,39,0,15,5,3,15,0,11,0,0
Zach Ertz,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,14,10,112,0,24,0,0
Alshon Jeffery,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,9,8,105,1,31,1,0
Jordan Matthews,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,56,1,56,0,0
Nelson Agholor,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,12,5,22,0,10,1,0
Kamar Aiken,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,0,14,0,0
Dallas Goedert,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,13,0,10,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Marcus Mariota,TEN,30,43,344,2,1,3,17,51,99.4,10,46,1,,0,0,0,0,,1,0
Derrick Henry,TEN,0,0,0,0,0,0,0,0,,8,24,0,14,2,2,7,0,13,0,0
Corey Davis,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,15,9,161,1,51,0,0
Taywan Taylor,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,77,0,19,0,0
Dion Lewis,TEN,0,0,0,0,0,0,0,0,,4,0,0,2,9,9,66,0,17,0,0
Tajae Sharpe,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,27,1,16,0,0
Darius Jennings,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0
Jonnu Smith,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
