Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Aaron Rodgers,GNB,28,38,246,4,0,3,23,58,125.5,6,60,0,23,0,0,0,0,,0,0
Aaron Ripkowski,GNB,0,0,0,0,0,0,0,,,6,34,0,12,1,1,-1,0,-1,0,0
Don Jackson,GNB,0,0,0,0,0,0,0,,,4,10,0,7,0,0,0,0,,0,0
Knile Davis,GNB,0,0,0,0,0,0,0,,,3,4,0,4,2,2,4,0,10,0,0
Jordy Nelson,GNB,0,0,0,0,0,0,0,,,0,0,0,,9,4,94,1,58,0,0
Davante Adams,GNB,0,0,0,0,0,0,0,,,0,0,0,,14,12,74,0,22,1,0
Jeff Janis,GNB,0,0,0,0,0,0,0,,,0,0,0,,4,4,30,1,10,0,0
Trevor Davis,GNB,0,0,0,0,0,0,0,,,0,0,0,,4,3,24,1,9,0,0
Geronimo Allison,GNB,0,0,0,0,0,0,0,,,0,0,0,,4,2,21,1,17,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Matt Ryan,ATL,28,35,288,3,0,2,11,47,129.5,2,9,0,10,0,0,0,0,,0,0
Terron Ward,ATL,0,0,0,0,0,0,0,,,6,46,0,26,1,1,11,0,11,0,0
Devonta Freeman,ATL,0,0,0,0,0,0,0,,,11,35,1,17,6,4,23,1,9,0,0
Mohamed Sanu,ATL,0,0,0,0,0,0,0,,,0,0,0,,10,9,84,1,14,0,0
Taylor Gabriel,ATL,0,0,0,0,0,0,0,,,0,0,0,,3,3,68,1,47,0,0
Austin Hooper,ATL,0,0,0,0,0,0,0,,,0,0,0,,5,5,41,0,17,0,0
Julio Jones,ATL,0,0,0,0,0,0,0,,,0,0,0,,5,3,29,0,12,0,0
Jacob Tamme,ATL,0,0,0,0,0,0,0,,,0,0,0,,2,2,19,0,13,0,0
Justin Hardy,ATL,0,0,0,0,0,0,0,,,0,0,0,,1,1,13,0,13,0,0
Aldrick Robinson,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Levine Toilolo,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
