Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Case Keenum,DEN,24,42,186,1,0,2,15,21,76.1,4,24,0,,0,0,0,0,,2,0
Royce Freeman,DEN,0,0,0,0,0,0,0,0,,6,36,0,23,1,0,0,0,0,0,0
Phillip Lindsay,DEN,0,0,0,0,0,0,0,0,,14,30,1,5,7,4,21,0,9,0,0
Tim Patrick,DEN,0,0,0,0,0,0,0,0,,1,11,0,11,10,7,85,0,21,1,0
Andy Janovich,DEN,0,0,0,0,0,0,0,0,,1,3,0,3,0,0,0,0,0,0,0
DaeSean Hamilton,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,47,1,18,0,0
Devontae Booker,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,11,0,7,0,0
Brian Parker,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,0
Matt LaCosse,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0
Courtland Sutton,DEN,0,0,0,0,0,0,0,0,,1,-1,0,-1,6,2,14,0,10,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Nick Mullens,SFO,20,33,332,2,1,3,27,85,102.1,5,-10,0,,0,0,0,0,,0,0
Jeff Wilson,SFO,0,0,0,0,0,0,0,0,,23,90,0,11,2,1,6,0,6,1,0
Alfred Morris,SFO,0,0,0,0,0,0,0,0,,2,4,0,4,1,1,3,0,3,0,0
George Kittle,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,210,1,85,0,0
Dante Pettis,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,49,1,31,0,0
Kendrick Bourne,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,22,0,12,0,0
Kyle Juszczyk,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,21,0,17,0,0
Marquise Goodwin,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,20,0,13,1,0
Trent Taylor,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0
Garrett Celek,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Joe Staley,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-5,0,-5,0,0
