Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Sam Bradford,STL,25,42,252,1,1,0,0,37,74.7,1,6,0,6,0,0,0,0,,0,0
Steven Jackson,STL,0,0,0,0,0,0,0,,,11,52,0,15,7,7,45,0,12,0,0
Isaiah Pead,STL,0,0,0,0,0,0,0,,,5,21,0,7,0,0,0,0,,0,0
Chris Givens,STL,0,0,0,0,0,0,0,,,0,0,0,,3,2,54,0,37,0,0
Brandon Gibson,STL,0,0,0,0,0,0,0,,,0,0,0,,6,3,45,0,21,0,0
Lance Kendricks,STL,0,0,0,0,0,0,0,,,0,0,0,,4,3,33,0,15,0,0
Danny Amendola,STL,0,0,0,0,0,0,0,,,0,0,0,,9,4,27,0,9,1,0
Austin Pettis,STL,0,0,0,0,0,0,0,,,0,0,0,,5,3,24,1,15,0,0
Daryl Richardson,STL,0,0,0,0,0,0,0,,,2,0,0,0,2,2,14,0,11,0,0
Matthew Mulligan,STL,0,0,0,0,0,0,0,,,0,0,0,,2,1,10,0,10,0,0
Mike McNeill,STL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Brian Quick,STL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Russell Wilson,SEA,15,19,250,1,0,6,41,49,136.3,10,58,1,15,0,0,0,0,,1,0
Marshawn Lynch,SEA,0,0,0,0,0,0,0,,,18,100,0,24,2,2,14,0,8,1,0
Golden Tate,SEA,0,0,0,0,0,0,0,,,0,0,0,,4,3,105,0,44,0,0
Anthony McCoy,SEA,0,0,0,0,0,0,0,,,0,0,0,,2,1,49,0,49,0,0
Michael Robinson,SEA,0,0,0,0,0,0,0,,,0,0,0,,3,3,33,1,19,0,0
Doug Baldwin,SEA,0,0,0,0,0,0,0,,,0,0,0,,2,2,19,0,12,0,0
Zach Miller,SEA,0,0,0,0,0,0,0,,,0,0,0,,4,3,18,0,9,0,0
Sidney Rice,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Robert Turbin,SEA,0,0,0,0,0,0,0,,,2,-5,0,2,1,1,12,0,12,0,0
