Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Christian Ponder,MIN,11,22,63,0,1,4,19,14,37.3,5,23,0,8,0,0,0,0,,0,0
Adrian Peterson,MIN,0,0,0,0,0,0,0,,,17,182,2,74,4,3,11,0,5,0,0
Percy Harvin,MIN,0,0,0,0,0,0,0,,,4,24,0,15,6,2,10,0,9,1,1
Toby Gerhart,MIN,0,0,0,0,0,0,0,,,1,14,0,14,2,1,3,0,3,0,0
Jerome Simpson,MIN,0,0,0,0,0,0,0,,,0,0,0,,2,1,14,0,14,0,0
Allen Reisner,MIN,0,0,0,0,0,0,0,,,0,0,0,,1,1,13,0,13,0,0
Michael Jenkins,MIN,0,0,0,0,0,0,0,,,0,0,0,,2,2,8,0,7,0,0
Rhett Ellison,MIN,0,0,0,0,0,0,0,,,0,0,0,,1,1,4,0,4,0,0
Devin Aromashodu,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Jerome Felton,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Kyle Rudolph,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Russell Wilson,SEA,16,24,173,3,0,1,8,23,127.3,9,27,0,13,0,0,0,0,,1,0
Sidney Rice,SEA,1,1,25,0,0,0,0,25,118.7,0,0,0,,4,4,54,1,23,0,0
Marshawn Lynch,SEA,0,0,0,0,0,0,0,,,26,124,1,23,2,2,26,0,23,0,0
Golden Tate,SEA,0,0,0,0,0,0,0,,,2,21,0,13,6,4,28,2,11,0,0
Robert Turbin,SEA,0,0,0,0,0,0,0,,,5,21,0,12,1,1,9,0,9,0,0
Michael Robinson,SEA,0,0,0,0,0,0,0,,,3,2,0,6,3,2,22,0,16,0,0
Zach Miller,SEA,0,0,0,0,0,0,0,,,0,0,0,,3,2,47,0,25,0,0
Jermaine Kearse,SEA,0,0,0,0,0,0,0,,,0,0,0,,2,1,6,0,6,0,0
Doug Baldwin,SEA,0,0,0,0,0,0,0,,,0,0,0,,3,1,6,0,6,0,0
