Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Deshaun Watson,HOU,29,42,375,2,1,7,28,30,102.8,6,41,1,,0,0,0,0,,0,0
Lamar Miller,HOU,0,0,0,0,0,0,0,0,,14,49,0,15,0,0,0,0,0,0,0
Alfred Blue,HOU,0,0,0,0,0,0,0,0,,13,31,0,10,3,0,0,0,0,0,0
DeAndre Hopkins,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,12,10,169,1,30,0,0
Will Fuller,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,49,1,22,0,0
Jordan Akins,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,24,0,14,0,0
Sammie Coates,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,0,12,0,0
Ryan Griffin,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,0,12,0,0
Keke Coutee,HOU,0,0,0,0,0,0,0,0,,2,-2,0,3,15,11,109,0,19,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Andrew Luck,IND,40,62,464,4,0,4,27,42,108.5,3,11,0,,0,0,0,0,,2,1
Jordan Wilkins,IND,0,0,0,0,0,0,0,0,,8,16,0,7,1,0,0,0,0,0,0
Nyheim Hines,IND,0,0,0,0,0,0,0,0,,4,10,0,7,11,9,63,2,14,0,0
Jeremy McNichols,IND,0,0,0,0,0,0,0,0,,2,4,0,7,0,0,0,0,0,0,0
T.Y. Hilton,IND,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,115,0,42,0,0
Chester Rogers,IND,0,0,0,0,0,0,0,,,0,0,0,,11,8,85,0,,0,0
Ryan Grant,IND,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,64,0,23,0,0
Zach Pascal,IND,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,56,1,18,0,0
Eric Ebron,IND,0,0,0,0,0,0,0,0,,0,0,0,0,10,5,40,1,12,0,0
Marcus Johnson,IND,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,24,0,16,0,0
Mo Alie-Cox,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,17,0,17,0,0
