Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Matthew Stafford,LAR,23,30,287,3,0,3,20,52,139.2,0,0,0,0,0,0,0,0,0,1,0
Sony Michel,LAR,0,0,0,0,0,0,0,0,,20,79,0,19,1,0,0,0,0,0,0
Van Jefferson,LAR,0,0,0,0,0,0,0,0,,1,10,0,10,3,2,58,1,52,0,0
Cooper Kupp,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,15,13,123,1,44,0,0
Odell Beckham Jr.,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,77,1,40,0,0
Kendall Blanton,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,29,0,23,0,0
Ben Skowronek,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Kyler Murray,ARI,32,49,383,0,2,4,39,47,72.1,7,61,0,17,0,0,0,0,0,1,0
James Conner,ARI,0,0,0,0,0,0,0,0,,13,31,2,13,9,9,94,0,18,0,0
Rondale Moore,ARI,0,0,0,0,0,0,0,0,,2,11,0,6,4,3,5,0,7,0,0
A.J. Green,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,102,0,36,0,0
Christian Kirk,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,86,0,47,0,0
DeAndre Hopkins,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,13,5,54,0,15,0,0
Zach Ertz,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,42,0,14,0,0
