Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jimmy Garoppolo,SFO,21,25,235,2,0,3,12,56,132.5,1,3,0,3,0,0,0,0,0,0,0
Christian McCaffrey,SFO,1,1,34,1,0,0,0,34,158.3,18,94,1,25,9,8,55,1,14,1,0
Jeff Wilson,SFO,0,0,0,0,0,0,0,0,,4,14,0,12,2,2,21,0,12,0,0
Brandon Aiyuk,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,81,1,34,0,0
Ross Dwelley,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,56,0,56,0,0
George Kittle,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,39,1,23,0,0
Ray-Ray McCloud,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,11,0,11,0,0
Tyler Kroft,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Matthew Stafford,LAR,22,33,187,1,0,2,20,23,91.4,2,-1,1,1,0,0,0,0,0,0,0
Ronnie Rivers,LAR,0,0,0,0,0,0,0,0,,8,21,0,5,4,4,15,0,7,0,0
Darrell Henderson,LAR,0,0,0,0,0,0,0,0,,4,16,0,6,2,2,14,0,7,0,0
Cooper Kupp,LAR,0,0,0,0,0,0,0,0,,2,10,0,5,12,8,79,1,23,0,0
Malcolm Brown,LAR,0,0,0,0,0,0,0,0,,5,10,0,4,0,0,0,0,0,0,0
Allen Robinson,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,54,0,23,0,0
Tyler Higbee,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,15,0,10,0,0
Ben Skowronek,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0
