Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Tony Romo,DAL,14,30,206,3,0,0,0,60,102.9,3,6,0,5,0,0,0,0,,0,0
Joseph Randle,DAL,0,0,0,0,0,0,0,,,14,26,0,7,4,3,18,0,13,0,0
Lance Dunbar,DAL,0,0,0,0,0,0,0,,,5,16,0,6,0,0,0,0,,0,0
Phillip Tanner,DAL,0,0,0,0,0,0,0,,,2,8,0,9,1,1,17,0,17,0,0
Terrance Williams,DAL,0,0,0,0,0,0,0,,,1,5,0,5,10,2,64,1,60,0,0
Dez Bryant,DAL,0,0,0,0,0,0,0,,,1,1,0,1,6,3,72,2,50,0,0
Jason Witten,DAL,0,0,0,0,0,0,0,,,0,0,0,,2,2,15,0,13,0,0
James Hanna,DAL,0,0,0,0,0,0,0,,,0,0,0,,2,2,12,0,11,0,0
Cole Beasley,DAL,0,0,0,0,0,0,0,,,0,0,0,,3,1,8,0,8,1,0
Doug Free,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Dwayne Harris,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Matthew Stafford,DET,33,48,488,1,2,1,8,87,91.3,3,12,1,8,0,0,0,0,,0,0
Reggie Bush,DET,0,0,0,0,0,0,0,,,21,92,1,17,9,8,30,0,9,1,1
Joique Bell,DET,0,0,0,0,0,0,0,,,4,32,1,16,1,1,22,0,22,0,0
Theo Riddick,DET,0,0,0,0,0,0,0,,,1,7,0,7,1,1,7,0,7,0,0
Calvin Johnson,DET,0,0,0,0,0,0,0,,,0,0,0,,16,14,329,1,87,1,1
Kris Durham,DET,0,0,0,0,0,0,0,,,0,0,0,,6,4,54,0,40,0,0
Brandon Pettigrew,DET,0,0,0,0,0,0,0,,,0,0,0,,6,3,31,0,17,0,0
Ryan Broyles,DET,0,0,0,0,0,0,0,,,0,0,0,,2,1,8,0,8,0,0
Jeremy Ross,DET,0,0,0,0,0,0,0,,,0,0,0,,3,1,7,0,7,0,0
