Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Patrick Mahomes,KAN,30,39,360,5,0,0,0,35,144.2,3,5,0,4,0,0,0,0,0,1,0
Isiah Pacheco,KAN,0,0,0,0,0,0,0,0,,12,62,1,22,0,0,0,0,0,1,0
Clyde Edwards-Helaire,KAN,0,0,0,0,0,0,0,0,,7,42,0,18,3,3,32,2,25,0,0
Jerick McKinnon,KAN,0,0,0,0,0,0,0,0,,4,22,0,18,4,3,27,0,18,0,0
Travis Kelce,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,9,8,121,1,35,0,0
JuJu Smith-Schuster,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,79,0,20,2,1
Skyy Moore,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,30,0,30,0,0
Mecole Hardman,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,16,1,8,0,0
Noah Gray,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,10,0,10,0,0
Jody Fortson,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,1,0,0
Justin Watson,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Marquez Valdes-Scantling,KAN,0,0,0,0,0,0,0,0,,1,-3,0,-3,4,4,44,0,17,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Kyler Murray,ARI,22,34,193,2,0,2,18,26,99.3,5,29,0,21,0,0,0,0,0,0,0
Trace McSorley,ARI,2,4,12,0,0,1,8,10,56.2,3,20,0,14,0,0,0,0,0,0,0
Eno Benjamin,ARI,0,0,0,0,0,0,0,0,,4,28,0,16,4,3,33,0,22,0,0
James Conner,ARI,0,0,0,0,0,0,0,0,,10,26,1,8,6,5,29,0,11,1,0
Greg Dortch,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,63,0,24,0,0
Marquise Brown,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,43,1,26,0,0
Zach Ertz,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,14,1,8,0,0
A.J. Green,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,13,0,8,0,0
Andy Isabella,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,10,0,10,0,0
