Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Minkah Fitzpatrick,PIT,0,0,0,0,0,0.0,11,7,4,0,0,0,0,0,0
Elandon Roberts,PIT,0,0,0,0,0,0.0,10,5,5,1,2,0,0,0,0
Cole Holcomb,PIT,0,0,0,0,0,0.0,7,4,3,0,0,0,0,0,0
Patrick Peterson,PIT,0,0,0,0,1,0.0,5,3,2,0,0,0,0,0,0
Montravius Adams,PIT,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Kwon Alexander,PIT,0,0,0,0,0,0.0,4,1,3,1,0,0,0,0,0
Keeanu Benton,PIT,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,1
Keanu Neal,PIT,0,0,0,0,0,0.0,4,2,2,1,0,0,0,0,0
Larry Ogunjobi,PIT,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Levi Wallace,PIT,0,0,0,0,2,0.0,4,4,0,0,0,0,0,0,0
Alex Highsmith,PIT,0,0,0,0,0,0.0,3,0,3,0,3,0,0,0,0
Damontae Kazee,PIT,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
DeMarvin Leal,PIT,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
Chandon Sullivan,PIT,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
T.J. Watt,PIT,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0
Nick Herbig,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Miles Killebrew,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Isaiahh Loudermilk,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Joey Porter Jr.,PIT,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Elijah Riley,PIT,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Kenny Pickett,PIT,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Steven Nelson,HOU,1,33,0,33,1,0.0,4,3,1,0,0,0,0,0,0
Jonathan Greenard,HOU,0,0,0,0,0,2.0,5,4,1,3,3,0,0,0,0
Jerry Hughes,HOU,0,0,0,0,0,1.0,3,2,1,1,1,0,0,0,0
Christian Harris,HOU,0,0,0,0,0,0.0,13,6,7,0,0,0,0,0,0
Henry To'oTo'o,HOU,0,0,0,0,1,0.0,7,3,4,1,0,0,0,0,0
Grayland Arnold,HOU,0,0,0,0,0,0.0,6,5,1,1,0,0,0,0,0
Sheldon Rankins,HOU,0,0,0,0,0,0.0,4,2,2,0,1,0,0,0,0
Jimmie Ward,HOU,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,1
Neville Hewitt,HOU,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Will Anderson,HOU,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Blake Cashman,HOU,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Khalil Davis,HOU,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Shaquill Griffin,HOU,0,0,0,0,3,0.0,2,2,0,0,0,0,0,0,0
Kurt Hinish,HOU,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Dylan Horton,HOU,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0
Jalen Pitre,HOU,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,1
Maliek Collins,HOU,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
Xavier Hutchinson,HOU,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Brevin Jordan,HOU,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Eric Murray,HOU,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Nico Collins,HOU,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Tank Dell,HOU,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
