Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Trumaine Johnson,NYJ,1,31,1,31,1,0.0,3,3,0,0,0,0,0,0,0
Jamal Adams,NYJ,0,0,0,0,0,1.0,11,10,1,0,1,0,0,0,1
Jordan Jenkins,NYJ,0,0,0,0,0,1.0,4,4,0,1,2,0,0,0,0
Frankie Luvu,NYJ,0,0,0,0,0,1.0,2,1,1,1,1,0,0,0,0
Avery Williamson,NYJ,0,0,0,0,0,0.0,9,5,4,0,0,0,0,0,0
Darron Lee,NYJ,0,0,0,0,0,0.0,7,3,4,2,0,0,0,0,0
Mike Pennel,NYJ,0,0,0,0,1,0.0,4,1,3,0,0,0,0,0,0
Morris Claiborne,NYJ,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Darryl Roberts,NYJ,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Brandon Copeland,NYJ,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Henry Anderson,NYJ,0,0,0,0,0,0.0,1,0,1,0,2,0,0,0,0
Neville Hewitt,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Rashard Robinson,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Nathan Shepherd,NYJ,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Leonard Williams,NYJ,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
Buster Skrine,NYJ,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Malcolm Butler,TEN,1,0,0,0,1,0.0,6,3,3,1,0,0,0,0,0
Jayon Brown,TEN,0,0,0,0,1,1.0,5,4,1,1,1,0,0,0,0
Jurrell Casey,TEN,0,0,0,0,0,1.0,4,3,1,1,1,0,0,0,0
Rashaan Evans,TEN,0,0,0,0,0,0.0,8,6,2,0,0,0,0,0,0
Adoree' Jackson,TEN,0,0,0,0,0,0.0,7,7,0,0,0,0,0,0,0
Wesley Woodyard,TEN,0,0,0,0,0,0.0,7,1,6,0,0,0,0,0,0
Kevin Byard,TEN,0,0,0,0,0,0.0,6,3,3,0,1,0,0,0,0
Harold Landry,TEN,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
Logan Ryan,TEN,0,0,0,0,1,0.0,6,4,2,0,0,0,0,0,0
DaQuan Jones,TEN,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Derrick Morgan,TEN,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Sharif Finch,TEN,0,0,0,0,0,0.0,2,1,1,1,1,0,0,0,0
LeShaun Sims,TEN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Kenny Vaccaro,TEN,0,0,0,0,1,0.0,2,1,1,0,1,0,0,0,0
Darius Jennings,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Austin Johnson,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Kendrick Lewis,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Bennie Logan,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Dion Lewis,TEN,0,0,0,0,0,0.0,0,0,0,,,1,0,0,0
Marcus Mariota,TEN,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Brian Orakpo,TEN,0,0,0,0,1,0.0,0,0,0,0,1,0,0,0,0
