Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Christian Ponder,MIN,25,37,236,1,1,2,12,31,82.7,4,29,1,16,0,0,0,0,,2,1
Adrian Peterson,MIN,0,0,0,0,0,0,0,,,25,140,1,52,3,3,37,0,19,0,0
Greg Jennings,MIN,0,0,0,0,0,0,0,,,0,0,0,,9,6,56,0,27,0,0
Kyle Rudolph,MIN,0,0,0,0,0,0,0,,,0,0,0,,2,2,35,1,31,0,0
Jarius Wright,MIN,0,0,0,0,0,0,0,,,0,0,0,,5,3,31,0,13,0,0
Jerome Simpson,MIN,0,0,0,0,0,0,0,,,0,0,0,,5,2,24,0,17,0,0
John Carlson,MIN,0,0,0,0,0,0,0,,,0,0,0,,6,4,23,0,12,0,0
Cordarrelle Patterson,MIN,0,0,0,0,0,0,0,,,0,0,0,,4,3,13,0,5,0,0
Jerome Felton,MIN,0,0,0,0,0,0,0,,,0,0,0,,1,1,11,0,11,0,0
Toby Gerhart,MIN,0,0,0,0,0,0,0,,,0,0,0,,1,1,6,0,6,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Tony Romo,DAL,34,51,337,2,1,3,23,34,90.1,1,8,0,8,0,0,0,0,,0,0
DeMarco Murray,DAL,0,0,0,0,0,0,0,,,4,31,0,27,7,6,19,0,12,0,0
Joseph Randle,DAL,0,0,0,0,0,0,0,,,1,3,0,3,0,0,0,0,,0,0
Jason Witten,DAL,0,0,0,0,0,0,0,,,0,0,0,,10,8,102,1,26,0,0
Cole Beasley,DAL,0,0,0,0,0,0,0,,,0,0,0,,9,6,68,0,18,0,0
Dez Bryant,DAL,0,0,0,0,0,0,0,,,0,0,0,,11,6,64,0,34,0,0
Terrance Williams,DAL,0,0,0,0,0,0,0,,,0,0,0,,7,2,33,0,29,0,0
James Hanna,DAL,0,0,0,0,0,0,0,,,0,0,0,,1,1,21,0,21,0,0
Dwayne Harris,DAL,0,0,0,0,0,0,0,,,0,0,0,,2,2,13,1,7,0,0
Lance Dunbar,DAL,0,0,0,0,0,0,0,,,3,-6,0,2,3,3,17,0,8,0,0
