Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Kirk Cousins,MIN,23,31,274,2,0,2,13,32,122.2,2,9,0,7,0,0,0,0,0,0,0
Jaren Hall,MIN,3,4,23,0,0,1,0,16,88.5,2,-1,0,0,0,0,0,0,0,1,1
Alexander Mattison,MIN,0,0,0,0,0,0,0,0,,16,31,0,10,1,1,2,0,2,0,0
Cam Akers,MIN,0,0,0,0,0,0,0,0,,9,19,1,9,1,1,6,0,6,0,0
Jordan Addison,MIN,0,0,0,0,0,0,0,0,,1,2,0,2,8,7,82,1,20,0,0
Brandon Powell,MIN,0,0,0,0,0,0,0,0,,1,2,0,2,3,1,10,0,10,0,0
K.J. Osborn,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,10,8,99,0,32,0,0
T.J. Hockenson,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,88,1,23,0,0
Johnny Mundt,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
C.J. Ham,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jordan Love,GNB,24,41,229,1,1,4,33,34,72.1,4,34,0,15,0,0,0,0,0,1,0
Aaron Jones,GNB,0,0,0,0,0,0,0,0,,7,29,0,7,5,4,17,0,7,1,0
AJ Dillon,GNB,0,0,0,0,0,0,0,0,,6,11,0,7,5,5,41,0,16,0,0
Jayden Reed,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,83,0,34,0,0
Christian Watson,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,33,0,17,0,0
Dontayvion Wicks,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,28,0,17,0,0
Romeo Doubs,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,18,1,10,0,0
Luke Musgrave,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,9,0,7,0,0
