Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Daniel Jones,NYG,24,41,252,1,0,6,37,20,84.6,1,3,0,3,0,0,0,0,0,0,0
Wayne Gallman,NYG,0,0,0,0,0,0,0,0,,6,27,0,9,2,2,26,0,19,0,0
Dion Lewis,NYG,0,0,0,0,0,0,0,0,,1,15,0,15,0,0,0,0,0,0,0
Evan Engram,NYG,0,0,0,0,0,0,0,0,,1,5,0,5,10,7,65,0,15,0,0
Alfred Morris,NYG,0,0,0,0,0,0,0,0,,3,4,0,2,1,1,9,0,9,0,0
Sterling Shepard,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,12,9,77,1,16,0,0
Dante Pettis,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,33,0,20,0,0
Darius Slayton,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,8,2,26,0,15,0,0
C.J. Board,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,16,0,16,0,0
Austin Mack,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Lamar Jackson,BAL,17,26,183,2,0,0,0,27,111.5,13,80,0,20,0,0,0,0,0,1,1
Gus Edwards,BAL,0,0,0,0,0,0,0,0,,15,85,0,32,2,2,37,0,27,0,0
J.K. Dobbins,BAL,0,0,0,0,0,0,0,0,,11,77,1,25,1,0,0,0,0,0,0
Devin Duvernay,BAL,0,0,0,0,0,0,0,0,,1,7,0,7,1,1,0,0,0,0,0
Mark Andrews,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,76,0,25,0,0
Marquise Brown,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,25,1,9,0,0
Willie Snead,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,24,0,13,0,0
Miles Boykin,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,13,0,13,0,0
Dez Bryant,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,1,8,0,0
