Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Ryan Tannehill,MIA,20,35,185,1,2,3,16,22,57.4,3,17,0,,0,0,0,0,,1,1
Frank Gore,MIA,0,0,0,0,0,0,0,0,,12,63,0,10,0,0,0,0,0,0,0
Kenyan Drake,MIA,0,0,0,0,0,0,0,0,,6,46,0,25,11,7,69,1,22,0,0
Kalen Ballage,MIA,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
Albert Wilson,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,43,0,16,0,0
Danny Amendola,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,30,0,16,0,0
Mike Gesicki,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,26,0,16,0,0
Kenny Stills,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,17,0,13,0,0
Jakeem Grant,MIA,0,0,0,0,0,0,0,,,0,0,0,,1,0,0,0,,0,0
Durham Smythe,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Andy Dalton,CIN,20,30,248,1,1,2,19,31,89.3,4,10,0,,0,0,0,0,,0,0
Joe Mixon,CIN,0,0,0,0,0,0,0,0,,22,93,0,31,4,3,22,1,18,0,0
A.J. Green,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,112,0,23,0,0
Tyler Boyd,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,44,0,31,0,0
C.J. Uzomah,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,43,0,25,0,0
Alex Erickson,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,24,0,10,0,0
Mark Walton,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,3,0,2,0,0
Tyler Kroft,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
