Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Sam Howell,WAS,28,44,300,0,1,4,32,30,74.1,2,13,1,12,0,0,0,0,0,0,0
Brian Robinson Jr.,WAS,0,0,0,0,0,0,0,0,,15,53,0,14,3,2,11,0,19,0,0
Antonio Gibson,WAS,0,0,0,0,0,0,0,0,,6,21,0,6,4,3,16,0,11,0,0
Chris Rodriguez,WAS,0,0,0,0,0,0,0,0,,4,21,0,13,0,0,0,0,0,0,0
Curtis Samuel,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,12,9,100,0,30,0,0
Jahan Dotson,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,52,0,15,0,0
Terry McLaurin,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,11,4,50,0,24,0,0
Cole Turner,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,29,0,29,0,0
Byron Pringle,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,27,0,16,0,0
Logan Thomas,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,15,0,13,0,0
Dyami Brown,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Dak Prescott,DAL,22,32,331,4,0,0,0,35,142.1,1,10,0,10,0,0,0,0,0,0,0
Tony Pollard,DAL,0,0,0,0,0,0,0,0,,13,79,1,27,6,6,24,0,10,1,0
Rico Dowdle,DAL,0,0,0,0,0,0,0,0,,3,11,0,7,1,1,15,1,15,0,0
Brandin Cooks,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,72,1,31,0,0
CeeDee Lamb,DAL,0,0,0,0,0,0,0,0,,1,0,0,0,9,4,53,1,16,0,0
Jalen Tolbert,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,49,0,31,0,0
Jake Ferguson,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,35,0,35,0,0
KaVontae Turpin,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,34,1,34,0,0
Jalen Brooks,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,24,0,24,0,0
Michael Gallup,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,0,13,0,0
Luke Schoonmaker,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,12,0,12,0,0
