Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Kirk Cousins,MIN,36,49,351,2,0,3,26,34,106.8,0,0,0,0,0,0,0,0,0,0,0
Justin Jefferson,MIN,1,1,11,0,0,0,0,11,112.5,0,0,0,0,9,5,71,0,34,0,0
Dalvin Cook,MIN,0,0,0,0,0,0,0,0,,20,61,1,17,7,6,43,0,9,1,1
Ameer Abdullah,MIN,0,0,0,0,0,0,0,0,,1,4,0,4,2,2,15,0,10,0,0
Alexander Mattison,MIN,0,0,0,0,0,0,0,0,,1,2,0,2,1,1,4,0,4,0,0
Adam Thielen,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,10,9,92,2,24,0,0
K.J. Osborn,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,76,0,25,0,0
Tyler Conklin,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,41,0,27,0,0
Dede Westbrook,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0
C.J. Ham,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,9,0,6,0,0
Chris Herndon,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Joe Burrow,CIN,20,27,261,2,0,5,44,50,128.8,1,2,0,2,0,0,0,0,0,0,0
Joe Mixon,CIN,0,0,0,0,0,0,0,0,,29,127,1,19,4,4,23,0,12,0,0
Samaje Perine,CIN,0,0,0,0,0,0,0,0,,5,22,0,13,1,1,7,0,7,0,0
Tee Higgins,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,58,1,28,0,0
C.J. Uzomah,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,35,0,32,0,0
Tyler Boyd,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,32,0,18,0,0
Mike Thomas,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,5,0,5,0,0
Ja'Marr Chase,CIN,0,0,0,0,0,0,0,0,,1,-2,0,-2,7,5,101,1,50,0,0
