Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Russell Wilson,DEN,26,38,222,1,1,4,32,27,81.2,4,27,2,16,0,0,0,0,0,1,1
Latavius Murray,DEN,0,0,0,0,0,0,0,0,,12,56,0,19,6,4,16,0,8,0,0
Chase Edmonds,DEN,0,0,0,0,0,0,0,0,,7,34,0,10,3,3,39,0,27,0,0
Albert Okwuegbunam,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,45,1,25,0,0
Courtland Sutton,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,44,0,18,0,0
Jerry Jeudy,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,38,0,11,0,0
Eric Saubert,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,30,0,24,0,0
Andrew Beck,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,10,0,6,0,0
Kendall Hinton,DEN,0,0,0,0,0,0,0,0,,1,0,0,0,2,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Patrick Mahomes,KAN,29,42,328,3,1,0,0,38,106.1,4,8,0,4,1,1,6,0,6,0,0
Isiah Pacheco,KAN,0,0,0,0,0,0,0,0,,9,31,1,6,2,2,18,0,9,0,0
Jerick McKinnon,KAN,0,0,0,0,0,0,0,0,,2,4,0,4,6,5,52,2,28,0,0
Ronald Jones II,KAN,0,0,0,0,0,0,0,0,,1,3,0,3,0,0,0,0,0,0,0
Kadarius Toney,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,71,0,38,1,1
Travis Kelce,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,43,0,12,0,0
Skyy Moore,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,33,0,18,0,0
Marquez Valdes-Scantling,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,7,2,28,0,22,0,0
Justin Watson,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,27,0,27,0,0
JuJu Smith-Schuster,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,21,0,11,0,0
Blake Bell,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,17,1,17,0,0
Noah Gray,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,0,12,0,0
