Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Ryan Tannehill,MIA,11,24,108,0,0,9,71,18,59.0,1,1,0,,0,0,0,0,,0,0
Kalen Ballage,MIA,0,0,0,0,0,0,0,0,,12,123,1,75,1,1,-2,0,-2,0,0
Frank Gore,MIA,0,0,0,0,0,0,0,0,,5,14,0,10,0,0,0,0,0,0,0
Brandon Bolden,MIA,0,0,0,0,0,0,0,0,,1,12,0,12,0,0,0,0,0,0,0
Kenyan Drake,MIA,0,0,0,0,0,0,0,0,,1,6,0,6,3,3,28,0,13,0,0
Danny Amendola,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,30,0,18,1,0
Mike Gesicki,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,23,0,14,0,0
Kenny Stills,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,17,0,17,0,0
Brice Butler,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,12,0,12,0,0
Nick O'Leary,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
DeVante Parker,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Kirk Cousins,MIN,14,21,215,2,1,2,17,40,112.2,5,7,0,,0,0,0,0,,0,0
Dalvin Cook,MIN,0,0,0,0,0,0,0,0,,19,136,2,26,2,1,27,0,27,0,0
Latavius Murray,MIN,0,0,0,0,0,0,0,0,,15,68,1,18,0,0,0,0,0,0,0
Stefon Diggs,MIN,0,0,0,0,0,0,0,0,,1,9,0,9,7,4,49,1,17,0,0
Tyler Conklin,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,53,0,33,0,0
Aldrick Robinson,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,44,1,40,0,0
Kyle Rudolph,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,23,0,12,0,0
Adam Thielen,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,19,0,14,0,0
Laquon Treadwell,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
