Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Aaron Rodgers,GNB,32,52,442,3,0,4,19,54,108.0,3,10,0,,0,0,0,0,,2,2
Aaron Jones,GNB,0,0,0,0,0,0,0,0,,7,40,0,18,3,2,19,0,12,0,0
Jamaal Williams,GNB,0,0,0,0,0,0,0,,,6,33,0,,4,2,19,0,,0,0
Ty Montgomery,GNB,0,0,0,0,0,0,0,0,,4,15,0,10,3,1,23,0,23,0,0
Davante Adams,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,12,9,140,1,30,0,0
Equanimeous St. Brown,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,89,0,54,0,0
Jimmy Graham,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,76,0,24,0,0
Marquez Valdes-Scantling,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,11,7,68,1,14,0,0
Lance Kendricks,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,8,1,7,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Matthew Stafford,DET,14,26,183,2,0,3,13,60,101.9,1,-1,0,,0,0,0,0,,0,0
Kerryon Johnson,DET,0,0,0,0,0,0,0,0,,12,70,0,24,2,2,15,0,12,0,0
LeGarrette Blount,DET,0,0,0,0,0,0,0,0,,12,22,2,6,0,0,0,0,0,0,0
Theo Riddick,DET,0,0,0,0,0,0,0,0,,3,3,0,3,3,2,20,0,12,0,0
Kenny Golladay,DET,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,98,1,60,0,0
Golden Tate,DET,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,42,0,14,0,0
Marvin Jones,DET,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,8,1,8,0,0
Levine Toilolo,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
